scene,arm,rep,representative,iteration,elapsed_s,cost,cost_kind,event,csv_wall_s,csv_to_native_offset_s
final-13682,off,1,True,0,0.0,1126369344.6739264,native,initial,,0.033601616000000334
final-13682,off,1,True,0,0.033601616000000334,1126369344.6739264,native,setup_complete,0.0,0.033601616000000334
final-13682,off,1,True,1,0.6987016160000004,105781959.35484338,native,outer_complete,0.6651,0.033601616000000334
final-13682,off,1,True,2,1.6176016160000004,46891921.08965262,native,outer_complete,1.584,0.033601616000000334
final-13682,off,1,True,3,2.8427016160000003,32351009.99782644,native,outer_complete,2.8091,0.033601616000000334
final-13682,off,1,True,4,3.607201616,31006154.976058822,native,outer_complete,3.5736,0.033601616000000334
final-13682,off,1,True,5,4.269301616,26022217.673905555,native,outer_complete,4.2357,0.033601616000000334
final-13682,off,1,True,5,4.269301616,26022217.67390575,independent_fp64,audited_endpoint,,0.033601616000000334
final-13682,rayleigh,1,False,0,0.0,1126369344.6739264,native,initial,,0.03390852099999986
final-13682,rayleigh,1,False,0,0.03390852099999986,1126369344.6739264,native,setup_complete,0.0,0.03390852099999986
final-13682,rayleigh,1,False,1,0.6925085209999998,105781959.3548433,native,outer_complete,0.6586,0.03390852099999986
final-13682,rayleigh,1,False,2,1.609608521,46891921.08965246,native,outer_complete,1.5757,0.03390852099999986
final-13682,rayleigh,1,False,3,2.8339085209999997,32351009.997826803,native,outer_complete,2.8,0.03390852099999986
final-13682,rayleigh,1,False,4,3.598708521,31006154.97637092,native,outer_complete,3.5648,0.03390852099999986
final-13682,rayleigh,1,False,5,4.260708521,26022217.67650041,native,outer_complete,4.2268,0.03390852099999986
final-13682,rayleigh,1,False,5,4.260708521,26022217.676500387,independent_fp64,audited_endpoint,,0.03390852099999986
final-13682,caspar32,1,True,0,0.0,1126365184.0,native,initial,,
final-13682,caspar32,1,True,1,0.574489688,216351744.0,native,accepted,,
final-13682,caspar32,1,True,2,1.374489909,93496080.0,native,accepted,,
final-13682,caspar32,1,True,3,2.17346566,61841616.0,native,accepted,,
final-13682,caspar32,1,True,4,2.972333,48149744.0,native,accepted,,
final-13682,caspar32,1,True,5,3.392395302,40043524.0,native,accepted,,
final-13682,caspar32,1,True,6,3.640139339,34855528.0,native,accepted,,
final-13682,caspar32,1,True,7,3.887797445,31310144.0,native,accepted,,
final-13682,caspar32,1,True,8,4.20437393,29252836.0,native,accepted,,
final-13682,caspar32,1,True,9,4.520980545,28377900.0,native,accepted,,
final-13682,caspar32,1,True,10,4.837570829,28134974.0,native,accepted,,
final-13682,caspar32,1,True,11,5.566710132,28134974.0,native,rejected,,
final-13682,caspar32,1,True,12,6.296777865,27740042.0,native,accepted,,
final-13682,caspar32,1,True,13,7.095703315,27490128.0,native,accepted,,
final-13682,caspar32,1,True,13,7.095723895,27498095.529274225,independent_fp64,audited_endpoint,,
final-13682,caspar64,1,False,0,0.0,1126369344.6739066,native,initial,,
final-13682,caspar64,1,False,1,1.256284563,216345530.31376144,native,accepted,,
final-13682,caspar64,1,False,2,2.97172186,93491899.90651098,native,accepted,,
final-13682,caspar64,1,False,3,4.687610187,61839211.486728564,native,accepted,,
final-13682,caspar64,1,False,4,6.402678053,48148285.54885013,native,accepted,,
final-13682,caspar64,1,False,5,8.11907798,39813569.8789423,native,accepted,,
final-13682,caspar64,1,False,6,9.835113247,34170610.14632386,native,accepted,,
final-13682,caspar64,1,False,7,11.550138913,30406420.99069366,native,accepted,,
final-13682,caspar64,1,False,8,13.268605211,28407546.821318712,native,accepted,,
final-13682,caspar64,1,False,9,14.983951047,27580841.40779206,native,accepted,,
final-13682,caspar64,1,False,9,14.983963917,27580841.407791927,independent_fp64,audited_endpoint,,
final-13682,rayleigh,2,False,0,0.0,1126369344.673926,native,initial,,0.08715174199999964
final-13682,rayleigh,2,False,0,0.08715174199999964,1126369344.673926,native,setup_complete,0.0,0.08715174199999964
final-13682,rayleigh,2,False,1,0.7463517419999997,105781959.35484347,native,outer_complete,0.6592,0.08715174199999964
final-13682,rayleigh,2,False,2,1.6636517419999997,46891921.08965256,native,outer_complete,1.5765,0.08715174199999964
final-13682,rayleigh,2,False,3,2.8897517419999996,32351009.99782542,native,outer_complete,2.8026,0.08715174199999964
final-13682,rayleigh,2,False,4,3.6540517419999996,31006154.97537798,native,outer_complete,3.5669,0.08715174199999964
final-13682,rayleigh,2,False,5,4.316451742,26022217.666632324,native,outer_complete,4.2293,0.08715174199999964
final-13682,rayleigh,2,False,5,4.316451742,26022217.66663257,independent_fp64,audited_endpoint,,0.08715174199999964
final-13682,caspar32,2,False,0,0.0,1126365312.0,native,initial,,
final-13682,caspar32,2,False,1,0.574578967,216351712.0,native,accepted,,
final-13682,caspar32,2,False,2,1.373729978,93496072.0,native,accepted,,
final-13682,caspar32,2,False,3,2.180868443,61841608.0,native,accepted,,
final-13682,caspar32,2,False,4,2.979588554,48149780.0,native,accepted,,
final-13682,caspar32,2,False,5,3.399455575,40043488.0,native,accepted,,
final-13682,caspar32,2,False,6,3.647177322,34855508.0,native,accepted,,
final-13682,caspar32,2,False,7,3.894798709,31310154.0,native,accepted,,
final-13682,caspar32,2,False,8,4.211377143,29252516.0,native,accepted,,
final-13682,caspar32,2,False,9,4.527906198,28376664.0,native,accepted,,
final-13682,caspar32,2,False,10,4.844507293,28139214.0,native,accepted,,
final-13682,caspar32,2,False,11,5.573376555,28139214.0,native,rejected,,
final-13682,caspar32,2,False,12,6.303296018,27737826.0,native,accepted,,
final-13682,caspar32,2,False,13,7.102110968,27472306.0,native,accepted,,
final-13682,caspar32,2,False,13,7.102125938,27480378.129532345,independent_fp64,audited_endpoint,,
final-13682,caspar64,2,True,0,0.0,1126369344.6739066,native,initial,,
final-13682,caspar64,2,True,1,1.254274642,216345530.3137614,native,accepted,,
final-13682,caspar64,2,True,2,2.970587139,93491899.906511,native,accepted,,
final-13682,caspar64,2,True,3,4.687018826,61839211.486728534,native,accepted,,
final-13682,caspar64,2,True,4,6.402570863,48148285.54885008,native,accepted,,
final-13682,caspar64,2,True,5,8.118858889,39813569.87894232,native,accepted,,
final-13682,caspar64,2,True,6,9.833818006,34170610.14632383,native,accepted,,
final-13682,caspar64,2,True,7,11.549815033,30406420.99069363,native,accepted,,
final-13682,caspar64,2,True,8,13.2662679,28407546.82131772,native,accepted,,
final-13682,caspar64,2,True,9,14.982270346,27580841.40778876,native,accepted,,
final-13682,caspar64,2,True,9,14.982284106,27580841.407788772,independent_fp64,audited_endpoint,,
final-13682,off,2,False,0,0.0,1126369344.6739264,native,initial,,0.06415344200000028
final-13682,off,2,False,0,0.06415344200000028,1126369344.6739264,native,setup_complete,0.0,0.06415344200000028
final-13682,off,2,False,1,0.7229534420000003,105781959.35484332,native,outer_complete,0.6588,0.06415344200000028
final-13682,off,2,False,2,1.6401534420000004,46891921.089652576,native,outer_complete,1.576,0.06415344200000028
final-13682,off,2,False,3,2.8650534420000002,32351009.997810457,native,outer_complete,2.8009,0.06415344200000028
final-13682,off,2,False,4,3.629553442,31006154.976072304,native,outer_complete,3.5654,0.06415344200000028
final-13682,off,2,False,5,4.291753442,26022217.67923046,native,outer_complete,4.2276,0.06415344200000028
final-13682,off,2,False,5,4.291753442,26022217.67923052,independent_fp64,audited_endpoint,,0.06415344200000028
final-13682,caspar32,3,False,0,0.0,1126365312.0,native,initial,,
final-13682,caspar32,3,False,1,0.574090609,216351680.0,native,accepted,,
final-13682,caspar32,3,False,2,1.373146642,93496072.0,native,accepted,,
final-13682,caspar32,3,False,3,2.171939725,61841616.0,native,accepted,,
final-13682,caspar32,3,False,4,2.970799699,48149848.0,native,accepted,,
final-13682,caspar32,3,False,5,3.390773172,40043496.0,native,accepted,,
final-13682,caspar32,3,False,6,3.63847052,34855508.0,native,accepted,,
final-13682,caspar32,3,False,7,3.886162687,31310140.0,native,accepted,,
final-13682,caspar32,3,False,8,4.202703113,29252798.0,native,accepted,,
final-13682,caspar32,3,False,9,4.519426079,28377574.0,native,accepted,,
final-13682,caspar32,3,False,10,4.836093084,28137524.0,native,accepted,,
final-13682,caspar32,3,False,11,5.634893018,27880200.0,native,accepted,,
final-13682,caspar32,3,False,12,6.433757551,27538562.0,native,accepted,,
final-13682,caspar32,3,False,12,6.433768671,27546551.141189303,independent_fp64,audited_endpoint,,
final-13682,caspar64,3,False,0,0.0,1126369344.6739066,native,initial,,
final-13682,caspar64,3,False,1,1.251280745,216345530.3137614,native,accepted,,
final-13682,caspar64,3,False,2,2.967726378,93491899.90651093,native,accepted,,
final-13682,caspar64,3,False,3,4.68333604,61839211.48672854,native,accepted,,
final-13682,caspar64,3,False,4,6.399858963,48148285.54885018,native,accepted,,
final-13682,caspar64,3,False,5,8.116007805,39813569.87894232,native,accepted,,
final-13682,caspar64,3,False,6,9.831062137,34170610.14632385,native,accepted,,
final-13682,caspar64,3,False,7,11.54681899,30406420.990693666,native,accepted,,
final-13682,caspar64,3,False,8,13.261852842,28407546.82131749,native,accepted,,
final-13682,caspar64,3,False,9,14.976797654,27580841.407787737,native,accepted,,
final-13682,caspar64,3,False,9,14.976818014,27580841.40778779,independent_fp64,audited_endpoint,,
final-13682,off,3,False,0,0.0,1126369344.6739264,native,initial,,0.039726317999999594
final-13682,off,3,False,0,0.039726317999999594,1126369344.6739264,native,setup_complete,0.0,0.039726317999999594
final-13682,off,3,False,1,0.6981263179999996,105781959.35484348,native,outer_complete,0.6584,0.039726317999999594
final-13682,off,3,False,2,1.6151263179999995,46891921.08965264,native,outer_complete,1.5754,0.039726317999999594
final-13682,off,3,False,3,2.8394263179999997,32351009.997826986,native,outer_complete,2.7997,0.039726317999999594
final-13682,off,3,False,4,3.6037263179999997,31006154.97628358,native,outer_complete,3.564,0.039726317999999594
final-13682,off,3,False,5,4.266026318,26022217.676596228,native,outer_complete,4.2263,0.039726317999999594
final-13682,off,3,False,5,4.266026318,26022217.676596478,independent_fp64,audited_endpoint,,0.039726317999999594
final-13682,rayleigh,3,True,0,0.0,1126369344.6739264,native,initial,,0.046562272999999266
