Generating SQLite file /tmp/prism-performance-gates/S-15-nsys.sqlite from /tmp/prism-performance-gates/S-15-nsys.nsys-rep
Processing [/tmp/prism-performance-gates/S-15-nsys.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.3,867200341,1313,660472.5,654585.0,652569,684056,11285.2,"void MFPass1<(int)9, double>(const T2 *, const int *, const int *, const double *, int, double *)"
30.8,663597203,1033,642398.1,642201.0,637529,650776,1860.7,"void MFPass2<(int)9, double>(const T2 *, const int *, const int *, const double *, const double *, const double *, int, double *)"
5.6,120305597,35,3437302.8,3437243.0,3436762,3437947,333.7,"void MFDiagK<(int)9, double, (bool)0>(const T2 *, const int *, const int *, const double *, int, double *)"
5.5,118570332,404,293490.9,293469.0,293117,293884,131.8,"KernelCostBlockRed(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, double *, int, double)"
4.3,93084482,15,6205632.1,6216060.0,6139036,6248699,32951.6,"void MFAssemble<(int)9, double>(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const int *, const int *, int, double *, double *, T2 *, T2 *, T2 *, double *, double *, double, double *, double *, int, double)"
4.0,86689742,1068,81170.2,81311.0,76319,81759,854.3,"MFVinvApply(const double *, const double *, int, double *)"
3.1,67647545,15,4509836.3,4496846.0,4420080,4640973,51586.9,"void MFPointFactorObs<double>(const T1 *, const int *, const int *, int, double *)"
1.3,28213445,35,806098.4,807095.0,786711,819543,7302.0,"void MFRhsPrime<(int)9, double>(const T2 *, const int *, const int *, const double *, int, double *)"
1.1,24582004,280,87792.9,87807.0,87263,88447,221.7,"MFBackSub(const double *, const double *, const double *, int, double *)"
0.9,20397926,12431,1640.9,1600.0,1216,2272,354.4,"void axpy_kernel_val<double, double>(cublasAxpyParamsVal<T1, T1, T2>)"
0.7,14116006,3,4705335.3,4705293.0,4661517,4749196,43839.5,"KernelRetriangulate(const int *, const int *, const double *, const int *, const int *, const double *, const double *, const double *, const double *, const double *, double *, int, int *, double *, int *)"
0.5,10353491,35,295814.0,295805.0,295133,296861,484.3,"MFPointFactorTau(const double *, const double *, double, int, double *, int *)"
0.3,7029692,3178,2212.0,2208.0,2144,3520,124.8,"void dot_kernel<double, (int)128, (int)0, cublasDotParams<cublasGemvTensor<const double>, cublasGemvTensorStridedBatched<double>>>(T4)"
0.3,6189946,415,14915.5,15776.0,11488,20032,1722.3,"KernelRetractPoints9(const double *, const double *, double *, int, int)"
0.3,5978045,5165,1157.4,1152.0,1119,1216,15.5,"void scal_kernel_val<double, double>(cublasScalParamsVal<T1, T2>)"
0.3,5421091,3178,1705.8,1664.0,1631,1952,76.1,"void reduce_1Block_kernel<double, (int)128, (int)7, cublasGemvTensorStridedBatched<double>, cublasGemvTensorStridedBatched<double>, cublasGemvTensorStridedBatched<double>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.2,4106446,2381,1724.7,1727.0,1088,2560,568.1,"MFScaleVec(double *, const double *, int)"
0.2,3783285,415,9116.3,9120.0,8512,10784,272.8,"KernelRetractCameras9(const double *, const double *, const double *, const double *, double *, double *, double *, int)"
0.1,1688053,280,6028.8,6016.0,5952,6240,41.5,"KernelNegateInPlace(double *, int)"
0.1,1593298,70,22761.4,22687.5,11199,34496,11632.3,"void nrm2_kernel<double, double, double, (int)0, (int)0, (int)128>(cublasNrm2Params<int, T1, T2>)"
0.1,1468045,120,12233.7,11584.0,5920,22976,3127.2,"MFAlphaScale(double *, const double *, double, double, int, int)"
0.0,583034,2,291517.0,291517.0,291453,291581,90.5,"KernelDiagnostics(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, double *, int *, int *)"
0.0,160317,35,4580.5,4576.0,4352,4768,94.7,"void MFDiagHcc<(int)9>(const double *, int, double *)"
0.0,102046,35,2915.6,2912.0,2879,3040,34.5,"MFMakeEquil(const double *, int, double *)"
0.0,65312,15,4354.1,4288.0,4160,4640,139.7,"KernelDampIntr9(double *, const double *, const double *, const double *, int, double, double)"
0.0,64768,2,32384.0,32384.0,32288,32480,135.8,"KernelCountCheirality(const int *, const int *, const double *, const double *, const double *, int, int *)"
0.0,7360,1,7360.0,7360.0,7360,7360,0.0,"KernelExpSO3All(const double *, double *, int)"

