# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261487,0.0000
1,13604466.1557523422,0.0227
2,1892308.6018048925,0.0561
3,922188.6712105925,0.1236
4,607718.3257246894,0.1539
5,488178.8468864446,0.2229
6,410799.2871267019,0.2596
7,399146.0571063603,0.3260
8,388465.6275535909,0.4241
9,380830.3719961738,0.7143
10,376440.4632007623,0.8758
11,374046.7277679006,0.9910
12,372927.0822932213,1.1667
13,371585.5879216589,1.4413
14,370614.0301812675,1.7507
15,370191.7009688530,2.0573
