# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261264,0.0000
1,13604466.1557523366,0.0269
2,1892308.6018048900,0.0641
3,922188.6712105799,0.1401
4,607718.3257246852,0.1744
5,488178.8468864271,0.2496
6,410799.2871266950,0.2904
7,399146.0571063517,0.3645
8,388465.6275535900,0.4752
9,380830.3989872350,0.7885
10,376418.6415522982,0.9664
11,374043.6055323859,1.0907
12,372930.6003823347,1.2862
13,371587.0917929388,1.5765
14,370613.7669872521,1.8987
15,370191.4707242024,2.2195
