# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261487,0.0000
1,12584235.8635369856,0.0269
2,2039235.8105380582,0.0627
3,950335.0990544885,0.3519
4,541454.6133866622,0.4401
5,419350.2522675238,0.6343
6,390843.6507546243,0.7447
7,381520.3758775684,0.7850
8,375672.6196182496,0.9553
9,373286.7013549332,1.0176
10,372310.1602067356,1.3288
11,371878.5111015074,1.6460
12,371446.0768800257,2.0461
13,371138.0264350809,2.6605
14,370810.3420832084,3.3417
15,370362.1820451210,3.9679
