# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261338,0.0000
1,12944578.8544229940,0.0268
2,2321685.7645667777,0.0728
3,723332.5283090770,0.1026
4,489556.7718159166,0.2070
5,445444.9185129546,0.2472
6,413529.8550778340,0.4048
7,403377.9045101914,0.6062
8,391979.8575131727,0.6967
9,383377.6432883028,0.7340
10,378650.9704769289,0.8568
11,377523.7297702538,1.3439
12,376752.8577493994,1.8503
13,376048.9363162067,2.4578
14,375568.6353680204,3.1449
15,375214.7666282415,3.9390
