# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-1197.txt
iter,cost,wall_s
0,45428699.3295261413,0.0000
1,13604466.1557523385,0.0267
2,1892308.6018048823,0.0644
3,922188.6712099853,0.1383
4,607718.3257244554,0.1727
5,488178.8468858108,0.2479
6,410799.2871260864,0.2887
7,399146.0571057033,0.3629
8,388465.6275521636,0.4732
9,380830.4123104973,0.7889
10,376439.9809525301,0.9671
11,374047.0134253585,1.0908
12,372931.1885006774,1.2868
13,371586.7171560564,1.5915
14,370613.4074100647,1.9200
15,370190.4994016936,2.2386
