scene,arm,rep,representative,iteration,elapsed_s,cost,cost_kind,event,csv_wall_s,csv_to_native_offset_s
ladybug-1469,rayleigh,1,False,0,0.0,42162108.78192692,native,initial,,
ladybug-1469,rayleigh,1,False,0,0.015591012000000015,42162108.78192692,native,setup_complete,0.0,
ladybug-1469,rayleigh,1,False,1,0.03359101200000002,7302439.81709201,native,outer_complete,0.018,
ladybug-1469,rayleigh,1,False,2,0.05659101200000002,1922393.835371906,native,outer_complete,0.041,
ladybug-1469,rayleigh,1,False,3,0.09039101200000002,738315.4983715633,native,outer_complete,0.0748,
ladybug-1469,rayleigh,1,False,4,0.12259101200000001,498540.6260766966,native,outer_complete,0.107,
ladybug-1469,rayleigh,1,False,5,0.14879101200000003,450550.0308642994,native,outer_complete,0.1332,
ladybug-1469,rayleigh,1,False,6,0.17939101200000002,447216.8069456153,native,outer_complete,0.1638,
ladybug-1469,rayleigh,1,False,7,0.206891012,439005.254640925,native,outer_complete,0.1913,
ladybug-1469,rayleigh,1,False,8,0.236691012,435708.5836831436,native,outer_complete,0.2211,
ladybug-1469,rayleigh,1,False,9,0.263091012,432964.7269942401,native,outer_complete,0.2475,
ladybug-1469,rayleigh,1,False,10,0.283691012,430567.4815790499,native,outer_complete,0.2681,
ladybug-1469,rayleigh,1,False,11,0.329491012,429634.0107812479,native,outer_complete,0.3139,
ladybug-1469,rayleigh,1,False,11,0.329491012,429634.0107820405,independent_fp64,audited_endpoint,,
ladybug-1469,caspar32,1,False,0,0.0,42502912.0,native,initial,,
ladybug-1469,caspar32,1,False,1,0.010182615,9451758.0,native,accepted,,
ladybug-1469,caspar32,1,False,2,0.01823789,3218292.75,native,accepted,,
ladybug-1469,caspar32,1,False,3,0.024431004,1574558.875,native,accepted,,
ladybug-1469,caspar32,1,False,4,0.030613547,1008145.0625,native,accepted,,
ladybug-1469,caspar32,1,False,5,0.038356981,794050.9375,native,accepted,,
ladybug-1469,caspar32,1,False,6,0.045304935,708973.125,native,accepted,,
ladybug-1469,caspar32,1,False,7,0.052971659,708973.125,native,rejected,,
ladybug-1469,caspar32,1,False,8,0.059864353,708973.125,native,rejected,,
ladybug-1469,caspar32,1,False,9,0.065277846,693866.5,native,accepted,,
ladybug-1469,caspar32,1,False,10,0.07141656,693866.5,native,rejected,,
ladybug-1469,caspar32,1,False,11,0.076816793,687215.375,native,accepted,,
ladybug-1469,caspar32,1,False,12,0.082216316,684487.75,native,accepted,,
ladybug-1469,caspar32,1,False,13,0.086863258,681764.625,native,accepted,,
ladybug-1469,caspar32,1,False,14,0.09075697,680038.875,native,accepted,,
ladybug-1469,caspar32,1,False,15,0.094630093,679341.75,native,accepted,,
ladybug-1469,caspar32,1,False,16,0.098503885,678522.9375,native,accepted,,
ladybug-1469,caspar32,1,False,17,0.102386717,677942.1875,native,accepted,,
ladybug-1469,caspar32,1,False,18,0.106270639,677537.75,native,accepted,,
ladybug-1469,caspar32,1,False,19,0.110149691,677260.8125,native,accepted,,
ladybug-1469,caspar32,1,False,20,0.113264593,677077.125,native,accepted,,
