stage,scene,arm,rep,target,hit,cost,target_seconds,native_seconds,outers,accepts,rejects,matvecs,stop_reason,cap_hit,audit_relative_error,source
compatibility,dubrovnik-88,off,0,,False,358946.55189393833,,0.420085,33,33,3,129,ftol,False,1.6216247406846976e-16,evidence/compatibility/dubrovnik-88-off-0
compatibility,dubrovnik-88,off,1,,False,358944.94788388716,,0.414532,33,33,1,125,ftol,False,9.729791923238876e-16,evidence/compatibility/dubrovnik-88-off-1
compatibility,dubrovnik-88,off,2,,False,358945.7772964892,,0.418373,33,33,2,127,ftol,False,1.2973025920934654e-15,evidence/compatibility/dubrovnik-88-off-2
compatibility,dubrovnik-88,original,0,,False,358945.3234390567,,0.458207,33,33,5,133,ftol,False,8.108151452675238e-16,evidence/compatibility/dubrovnik-88-original-0
compatibility,dubrovnik-88,original,1,,False,358946.39397433156,,0.42746,33,33,4,131,ftol,False,1.6216254541236557e-16,evidence/compatibility/dubrovnik-88-original-1
compatibility,dubrovnik-88,original,2,,False,358945.38986228575,,0.421311,33,33,3,129,ftol,False,1.7837929894956867e-15,evidence/compatibility/dubrovnik-88-original-2
final,final-3068,original,0,1744796.9841897595,True,1744762.020514066,5.015948744,5.023896,92,92,7,426,target,False,1.410252064868498e-12,evidence/final/final-3068-original-0
final,final-3068,original,1,1744796.9841897595,True,1739225.3298245475,3.155845039,3.163818,52,52,4,279,target,False,2.0080547327127316e-15,evidence/final/final-3068-original-1
final,final-3068,original,2,1744796.9841897595,True,1743120.6747823202,4.7577368,4.765697,89,89,5,340,target,False,2.3789022891333997e-13,evidence/final/final-3068-original-2
final,final-3068,original,3,1744796.9841897595,True,1735501.3758601744,3.811017409,3.819002,82,82,6,395,target,False,1.059844786325173e-14,evidence/final/final-3068-original-3
final,final-3068,original,4,1744796.9841897595,False,1744958.9223242754,,7.04206,103,103,24,693,ftol,False,5.870939533135017e-15,evidence/final/final-3068-original-4
final,final-3068,original,5,1744796.9841897595,False,1869765.1076970964,,3.769891,55,55,22,271,ftol,False,3.735720214727449e-16,evidence/final/final-3068-original-5
final,final-3068,original,6,1744796.9841897595,False,1877796.6673924841,,2.950025,49,49,14,180,ftol,False,1.983862450685285e-15,evidence/final/final-3068-original-6
final,final-3068,original,7,1744796.9841897595,True,1740913.0053077585,3.13255734,3.14052,50,50,6,313,target,False,2.139848623741746e-15,evidence/final/final-3068-original-7
final,final-3068,original,8,1744796.9841897595,False,1794415.6461413293,,24.913753,504,504,41,1179,ftol,False,7.785174326401245e-16,evidence/final/final-3068-original-8
final,final-3068,original,9,1744796.9841897595,True,1740778.3457749034,1.656247503,1.66422,24,24,2,224,target,False,1.0700070768641167e-15,evidence/final/final-3068-original-9
final,final-3068,pair,0,1744796.9841897595,True,1736424.138457803,3.54458419,3.579009,60,60,3,361,target,False,2.5476392152394775e-15,evidence/final/final-3068-pair-0
final,final-3068,pair,1,1744796.9841897595,False,1945757.9373377846,,3.898705,65,64,20,201,depth_confirmed,False,2.1538915531824973e-15,evidence/final/final-3068-pair-1
final,final-3068,pair,2,1744796.9841897595,True,1744743.298592943,2.320248411,2.328205,40,40,2,212,target,False,7.606475232759635e-15,evidence/final/final-3068-pair-2
final,final-3068,pair,3,1744796.9841897595,False,1749525.319635399,,4.568203,77,76,8,460,depth_confirmed,False,2.2623970614730265e-15,evidence/final/final-3068-pair-3
final,final-3068,pair,4,1744796.9841897595,False,1821393.0802666163,,6.063315,65,64,19,969,depth_confirmed,False,2.812283749115447e-15,evidence/final/final-3068-pair-4
final,final-3068,pair,5,1744796.9841897595,True,1742438.1355592953,5.013841402,5.040802,94,94,7,314,target,False,6.681173893704256e-16,evidence/final/final-3068-pair-5
final,final-3068,pair,6,1744796.9841897595,True,1742290.862232864,3.464144519,3.472103,66,66,4,273,target,False,2.004521593100833e-15,evidence/final/final-3068-pair-6
