# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083222,0.0000
1,2294603.8804430305,0.0750
2,2177213.9364907932,0.1508
3,2095395.5688597779,0.2334
4,2036999.7989045589,0.3127
5,2001950.7336689534,0.4060
6,1994363.5422727200,0.5214
7,1988703.7280668428,0.6509
8,1984911.0955270105,0.7786
9,1975924.7539235682,1.0266
10,1972281.3534814152,1.2339
11,1968488.2829911944,1.7038
12,1966329.8597109385,2.1854
13,1964848.0521856365,2.6665
14,1957100.1284102448,3.1338
15,1955394.1420676818,3.6016
16,1953029.1269487706,3.6870
17,1951094.2834025067,4.1549
18,1947686.5074323884,4.6225
19,1946124.9295272597,4.7101
