# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083222,0.0000
1,2294603.8804408577,0.1010
2,2177213.9364972725,0.2073
3,2095395.5687373036,0.3408
4,2036999.7996996702,0.4607
5,2001950.7358134345,0.6480
6,1982943.6424759030,1.5583
7,1978464.3044995281,2.0597
8,1971177.7826981507,3.8844
9,1967157.0294112435,5.7068
10,1964405.5590317701,7.5286
11,1962199.2525756327,9.3540
12,1959340.9893899644,11.1778
13,1952427.8274615628,11.8751
14,1950493.4838816647,13.7096
15,1949013.1321279067,15.5437
16,1945371.4431344615,15.7061
