Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.8,375906341,244,1540599.8,1538075.0,1514603,1594537,13961.8,"void MFPass2<(int)9, float>(const T2 *, const int *, const int *, const double *, const double *, const double *, int, double *, const int *)"
28.2,368241712,8,46030214.0,45689223.0,44849107,48468159,1221353.1,"void MFAssemble<(int)9, float>(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const int *, const int *, int, double *, double *, T2 *, T2 *, T2 *, double *, double *, double, double *, double *, int, double)"
25.0,326238683,252,1294597.9,1293550.0,1291694,1324622,5243.4,"void MFPass1<(int)9, float>(const T2 *, const int *, const int *, const double *, int, double *)"
7.3,95986958,8,11998369.8,11929611.0,11850588,12197367,151007.3,"MFRhsDiagFused(const float *, const int *, const int *, const double *, const double *, int, double *, double *)"
3.7,47769946,252,189563.3,189501.0,188253,195901,1215.5,"MFVinvApply(const double *, const double *, int, double *)"
1.6,21361848,2,10680924.0,10680924.0,10680524,10681324,565.7,"MFPointSafeguard(const int *, const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, int, double *, unsigned long long *, double)"
1.2,15639559,8,1954944.9,1946069.0,1934565,1995364,25117.2,"MFDirectFullModel(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, int, double, double *)"
1.1,14975824,8,1871978.0,1859238.0,1831622,1933446,36188.6,"MFPointFactorGuarded(const float *, const int *, const int *, int, double *, int *)"
1.1,14374616,13,1105739.7,1090737.0,1084433,1244463,43076.7,"void KernelCostBlockRed<(bool)0>(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, double *, int, double, double, unsigned int *)"
0.5,6366956,490,12993.8,11648.0,10720,15360,1735.6,"void MFBlockSolve<(int)9>(const double *, const double *, int, int, double *)"
0.4,5790128,8,723766.0,718294.0,714198,736086,10220.8,"MFPointFactorTau(const double *, const double *, double, int, double *, int *)"
0.2,2320000,2,1160000.0,1160000.0,1085521,1234479,105329.2,"KernelDiagnostics(const int *, const int *, const double *, const double *, const double *, const double *, const double *, const double *, const double *, int, double *, int *, int *)"
0.1,1786957,970,1842.2,1600.0,1568,74559,3707.5,"void dot_kernel<double, (int)128, (int)0, cublasDotParams<cublasGemvTensor<const double>, cublasGemvTensorStridedBatched<double>>>(T4)"
0.1,1629801,8,203725.1,202653.0,201885,207646,2389.4,"MFBackSub(const double *, const double *, const double *, int, double *)"
0.1,1574379,970,1623.1,1600.0,1567,2304,75.0,"void reduce_1Block_kernel<double, (int)128, (int)7, cublasGemvTensorStridedBatched<double>, cublasGemvTensorStridedBatched<double>, cublasGemvTensorStridedBatched<double>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.1,1344820,970,1386.4,1344.0,1088,1888,203.0,"void axpy_kernel_val<double, double>(cublasAxpyParamsVal<T1, T1, T2>)"
0.1,1217423,22,55337.4,52607.5,37472,64895,8778.5,"KernelRetractPoints9(const double *, const double *, double *, int, int)"
0.1,1160107,62,18711.4,18607.5,11103,26975,7527.0,"void nrm2_kernel<double, double, double, (int)0, (int)0, (int)128>(cublasNrm2Params<int, T1, T2>)"
0.1,720538,504,1429.6,1088.0,991,2048,420.3,"MFScaleVec(double *, const double *, int)"
0.0,478168,8,59771.0,59391.0,58847,60927,865.5,"void MFBlockChol<(int)9>(double *, int, double, int *)"
0.0,263356,2,131678.0,131678.0,126942,136414,6697.7,"KernelCountCheirality(const int *, const int *, const double *, const double *, const double *, int, int *)"
0.0,248442,239,1039.5,1024.0,992,1120,19.4,"void scal_kernel_val<double, double>(cublasScalParamsVal<T1, T2>)"
0.0,228574,8,28571.8,28544.0,28127,29184,364.7,"PcgNormalize(int, const double *, const double *, double, double *)"
0.0,217916,22,9905.3,9695.5,9376,12608,765.8,"KernelRetractCameras9(const double *, const double *, const double *, const double *, double *, double *, double *, int)"
0.0,103934,8,12991.8,12960.0,12800,13216,138.1,"KernelNegateInPlace(double *, int)"
0.0,101246,4,25311.5,25328.0,12959,37631,14207.5,"MFAlphaScale(double *, const double *, double, double, int, int)"
0.0,97279,1,97279.0,97279.0,97279,97279,0.0,"MFFragmentSlots(const int *, const int *, int, int *)"
0.0,31839,8,3979.9,4000.0,3808,4128,99.8,"KernelDampIntr9(double *, const double *, const double *, const double *, int, double, double)"
0.0,29888,8,3736.0,3712.0,3680,3808,53.4,"PcgReferenceDiag(int, const double *, const double *, double, double *)"
0.0,28606,8,3575.8,3568.0,3487,3744,86.8,"void MFDiagHcc<(int)9>(const double *, int, double *)"
0.0,23072,8,2884.0,2864.0,2848,3008,55.3,"MFTRUnscale(const double *, const double *, double *, int)"
0.0,14144,8,1768.0,1760.0,1728,1792,22.6,"MFMakeEquil(const double *, int, double *)"
0.0,8480,1,8480.0,8480.0,8480,8480,0.0,"KernelExpSO3All(const double *, double *, int)"
