# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2294603.8804430314,0.0782
2,2177213.9364907932,0.1538
3,2095395.5688597793,0.2356
4,2036999.7989045705,0.3141
5,2001950.7336685909,0.4083
6,1982943.6629042358,0.6732
7,1978464.4275646934,0.8502
8,1971177.7912524857,1.3316
9,1967157.0767999857,1.8130
10,1964405.5657467588,2.2960
11,1962199.2202924169,2.7795
12,1959340.9838363044,3.2604
13,1952427.8956314628,3.4710
14,1950493.5062250940,3.9524
15,1949013.1485619366,4.4336
16,1945371.4600737563,4.5216
