# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2294603.8804430314,0.0800
2,2177213.9364907923,0.1616
3,2095395.5688597769,0.2451
4,2036999.7989045596,0.3230
5,2001950.7336689595,0.4168
6,1982943.6628722812,0.6759
7,1978464.4017865702,0.8513
8,1971177.8559921097,1.3319
9,1967157.0676631189,1.8207
10,1964405.4956243359,2.3016
11,1962199.2245160027,2.7833
12,1959340.9357900189,3.2645
13,1952427.7941043389,3.4769
14,1950493.4508018466,3.9588
15,1949013.0975354221,4.4456
16,1945371.4371119621,4.5330
