arm,rep,crossing_seconds,final_audited_cost,outers,accepts,rejects,native_seconds,matvecs,menu_evals,target_hit,retri_firings,retri_points_reset,binary_sha256
annealed-s-five,1,15.307901369,1945981.39577052,26,26,0,15.321989,2394,357,True,5,11696,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
annealed-s-five,2,13.15432716,1946407.0538643326,24,24,0,13.168552,2036,292,True,4,14808,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
annealed-s-five,3,12.760771,1946084.9258537476,22,22,0,12.781699,1988,320,True,4,58757,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-five,1,12.391777332,1946318.5008442658,20,20,0,12.410527,1965,315,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-five,2,12.207854496,1945795.100438733,20,20,0,12.235525,1917,347,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-five,3,12.363035988,1945356.8683239743,20,20,0,12.377997,1966,295,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-single,1,12.298714754,1946318.61923601,26,26,0,12.313203,1921,90,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-single,2,13.858422934,1946389.3323986346,30,30,0,13.872314,2156,99,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
control-single,3,14.382502579,1945863.5564535721,29,29,0,14.396384,2271,102,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-five,1,10.928036782,1946047.3877849237,18,18,0,10.951976,1707,297,True,3,36747,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-five,2,12.394575349,1945421.0587987744,20,20,0,12.409051,1962,295,True,3,24484,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-five,3,10.930008384,1946027.8078900916,18,18,0,10.944218,1706,297,True,3,36787,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-single,1,13.454543528,1946303.020898347,30,30,0,13.47651,2065,96,True,4,130400,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-single,2,15.163636725,1946038.8248141897,31,31,0,15.183659,2376,105,True,6,136766,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
retri-single,3,44.668960761,1946354.377452287,69,69,0,44.685015,7429,302,True,13,128735,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
schur-guarded-lm,1,4.232436,1945209.68241487,19,19,0,4.241708,927,19,True,0,0,117773562d33949cdbfdc27905d1f23a2cc1faedb7f77c3e619c17caa50a86dc
schur-guarded-lm,2,4.216170659,1945209.6479232928,19,19,0,4.225188,927,19,True,0,0,117773562d33949cdbfdc27905d1f23a2cc1faedb7f77c3e619c17caa50a86dc
schur-guarded-lm,3,4.219845681,1945209.6705533217,19,19,0,4.229067,927,19,True,0,0,117773562d33949cdbfdc27905d1f23a2cc1faedb7f77c3e619c17caa50a86dc
tr-five,1,19.347565602,1945971.6810930092,29,29,0,19.362495,3256,29,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
tr-five,2,18.791730636,1946430.1951538154,30,30,0,18.806171,3128,30,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
tr-five,3,17.70529329,1944465.0857535836,26,26,0,17.719975,2991,26,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
tr-single,1,16.331290842,1946068.2906995113,28,28,0,16.345225,2695,28,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
tr-single,2,16.966838192,1945791.2203002376,33,33,0,16.980598,2719,33,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
tr-single,3,16.330326354,1946066.338026894,28,28,0,16.344278,2695,28,True,0,0,a53d0cdb776ece065d19f92ff68a6ce740b91ed136e8ee16e16ba0c060b55cc0
