# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083213,0.0000
1,2253013.1035818439,0.1304
2,2040219.3530882455,0.4230
3,1990309.7857299577,1.2125
4,1981895.9183987218,1.3162
5,1973453.0330172000,2.1049
6,1967197.5126010266,2.8914
7,1963861.9224590326,3.6769
8,1962439.5786849468,4.3544
9,1959015.8102133400,5.1270
10,1956955.8389152812,5.9051
11,1956217.0070314554,6.6212
12,1956010.5732797517,6.9826
13,1954153.3056914250,7.7469
14,1953034.2873786387,8.0130
15,1951624.1647461441,8.7780
16,1950474.4094252621,9.5453
17,1949224.9562919359,10.3179
18,1948593.8948394414,11.0146
19,1946645.4417605428,11.7731
20,1945312.4419138741,12.5441
21,1944565.7803624822,13.3157
22,1943815.1520541883,14.0944
23,1943512.2756172474,14.8451
24,1943422.6983936019,15.2606
25,1942598.7937178568,16.0250
26,1942086.8816184991,16.3112
27,1941460.5969125675,17.0755
28,1941154.1029248985,17.7638
29,1940557.1284719999,18.5216
30,1940164.4542577281,19.1303
31,1940105.7989893288,19.4108
32,1939013.5799641453,20.1758
33,1938456.0505441541,20.9401
34,1938429.4475863557,21.1671
35,1938207.4843943513,21.9315
36,1938107.2053530843,22.6100
37,1937859.0763645319,23.3680
38,1937721.9106071759,23.8855
39,1937709.7101940438,24.0721
40,1937428.1781173388,24.8370
41,1937330.7183695368,25.5150
42,1937253.4574500485,26.2731
43,1937193.2027976790,27.0380
44,1937142.9897620773,27.8096
45,1937099.8378465921,28.5742
46,1937062.8644971845,29.3460
47,1937030.6410629977,30.1117
48,1937002.8826275207,30.8767
49,1936978.5626128826,31.6418
50,1936957.4354959326,32.4069
51,1936956.8177135743,32.5288
52,1936934.4094208574,33.2942
53,1936931.2987725765,33.4165
54,1936915.4607567675,34.1827
55,1936901.8679091297,34.9479
56,1936890.1117175845,35.7063
57,1936879.9361211869,36.4709
58,1936871.0645855318,37.2292
59,1936863.3346661492,37.9948
60,1936856.5705749793,38.7519
61,1936850.6687162945,39.5155
62,1936847.5146681259,40.2427
63,1936828.6038169023,41.0006
64,1936821.0559098336,41.4377
65,1936818.6195117394,42.1955
66,1936816.6633776734,42.9534
67,1936815.1362099305,43.7183
68,1936813.8138272897,44.4762
69,1936812.7110894579,45.2404
70,1936811.7357602734,45.9986
71,1936811.7202923337,46.0950
72,1936810.8723710375,46.8530
73,1936810.8533327091,46.9510
74,1936810.1214989328,47.7089
75,1936809.4901390444,48.4733
76,1936808.9287967843,49.2311
77,1936808.8307128688,49.5121
78,1936806.6746313504,50.2769
79,1936806.1247445086,50.6886
80,1936805.6893859187,51.4541
81,1936805.4217557483,52.2191
82,1936805.2574424965,52.6945
83,1936805.1395349533,53.4522
84,1936805.0757643606,53.9531
85,1936805.0653633864,54.3251
86,1936804.8359834873,55.0902
87,1936804.7294013079,55.6809
88,1936804.7142871835,56.0179
89,1936804.6795803867,56.7828
90,1936804.6526275473,57.5410
91,1936804.6306471287,58.3053
92,1936804.6112207128,59.0778
