# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2339376.7323174560,0.1218
2,2240668.7664935994,0.2716
3,2174031.0613729469,0.3961
4,2052896.4431022641,0.6832
5,2018383.9142503496,0.8737
6,1993130.7864415520,1.6641
7,1978850.2312241904,2.4380
8,1975309.2016779971,2.5506
9,1969781.9129722174,3.3160
10,1964722.9242833776,4.0881
11,1961848.8350523945,4.8834
12,1960806.0631445046,5.6007
13,1957759.8953948072,6.3792
14,1955275.3912222723,7.1571
15,1953738.1806975515,7.9218
16,1952298.2916353294,8.7111
17,1951090.6570032132,9.4896
18,1950388.6886690082,10.2203
19,1950219.7906013348,10.5459
20,1948004.7082009248,11.3321
21,1946709.5814326559,12.1342
22,1946084.9258537500,12.7440
