# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2253013.1035818434,0.1311
2,2040219.3530882427,0.4225
3,1990316.8561464166,1.2074
4,1981912.7887342218,1.3120
5,1973461.1154925332,2.0987
6,1967197.0329306740,2.8847
7,1963846.5542044831,3.6713
8,1962416.7087043175,4.1327
9,1959008.9477494420,4.9035
10,1956957.6612750099,5.6828
11,1956215.9718167051,6.4131
12,1956008.9236551267,6.7737
13,1954160.1328469291,7.5390
14,1953038.0810757347,7.8052
15,1951617.7159691055,8.5706
16,1950460.7693102306,9.3353
17,1949205.8994890500,10.1059
18,1948174.8419632923,10.8852
19,1946982.4302730267,11.6708
20,1946318.5008442637,12.3735
