# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2372827.0638847342,0.1130
2,2344399.1203389810,0.2216
3,2301415.0530939335,0.3242
4,2235993.7715085275,0.4313
5,2154771.2604013444,0.5492
6,2101696.2115461715,0.6825
7,2079554.1630375567,0.7854
8,2020718.1376594258,1.0756
9,2001064.5123424768,1.4155
10,1993990.5707283921,1.7553
11,1980859.8405197654,2.1802
12,1972299.0285408981,2.9290
13,1966007.2666435721,3.6770
14,1962732.7936806441,4.4246
15,1960702.7167700473,5.1725
16,1958966.2723771934,5.9204
17,1957374.6917432630,6.6690
18,1955928.7653283013,7.4174
19,1954551.7791501048,8.1650
20,1953301.7441168737,8.9124
21,1952073.5633640445,9.6595
22,1952008.7189726429,9.7620
23,1950757.6104260851,10.5096
24,1950605.1820556798,10.6115
25,1949516.6821433085,11.3634
26,1948517.8530015608,12.1114
27,1947568.2564890671,12.8587
28,1946699.4253847045,13.6061
29,1945863.5564535765,14.3535
