# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083213,0.0000
1,2253013.1035818444,0.1302
2,2040219.3530882413,0.4246
3,1990310.7191049538,1.2153
4,1981898.5113943815,1.3206
5,1973454.1043473268,2.1066
6,1967179.6684367575,2.9079
7,1963786.9591270995,3.6928
8,1962356.6356322689,4.1539
9,1959057.7974516666,4.9252
10,1957056.8442415241,5.7039
11,1956305.2813617566,6.4366
12,1956096.5425762837,6.7875
13,1954234.0727891058,7.5525
14,1953100.0179408356,7.8188
15,1951690.6399608373,8.5836
16,1950543.4928012537,9.3646
17,1949291.0881061817,10.1363
18,1948666.3636315463,10.8482
19,1946737.6955225484,11.6060
20,1945421.0587987707,12.3784
