# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083213,0.0000
1,2372827.0638847342,0.0983
2,2344399.1203389815,0.1962
3,2301415.0530939330,0.2987
4,2235993.7715085279,0.4065
5,2154771.2604013486,0.5238
6,2102041.1152752931,0.6688
7,2062544.7556720029,0.8227
8,2052096.0510096960,0.9358
9,2011381.7318982659,1.3387
10,2005472.5911458451,1.5700
11,1992362.5761618088,1.9782
12,1989397.2587818981,2.1556
13,1978974.4974228945,2.9043
14,1971709.0787247068,3.6531
15,1965595.3823449325,4.4013
16,1962464.6279299646,5.1648
17,1960519.3837282611,5.9131
18,1958837.9101914493,6.6615
19,1958737.5047705227,6.7635
20,1957080.7685976208,7.5122
21,1956963.6257249948,7.6309
22,1955533.0072331394,8.3781
23,1954181.0191421034,9.1294
24,1952939.0513479996,9.8769
25,1951756.7162713411,10.6281
26,1950660.6730368531,11.3928
27,1949616.2448003909,12.1403
28,1948645.5192225184,12.8877
29,1947722.0808515574,13.6347
30,1946863.7555365623,14.3832
31,1946038.8248141853,15.1471
