# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083213,0.0000
1,2432656.7534937435,0.0820
2,2415083.7490386488,0.1595
3,2392806.8859952344,0.2313
4,2359989.1616198975,0.3039
5,2312625.9081671624,0.3757
6,2253426.6854491038,0.4478
7,2176221.5070255212,0.5223
8,2089029.5609706305,0.5974
9,2029902.4591843910,0.6825
10,1995089.1806491264,0.8237
11,1981766.8491575744,1.2291
12,1969782.1572686797,1.3112
13,1967427.0934245861,1.7838
14,1963818.3388318492,2.2520
15,1960324.9206962381,2.7205
16,1954208.6963215580,3.1694
17,1948747.9436829370,3.2483
18,1946918.4776999687,3.7297
19,1945209.6824148702,4.2155
