# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083222,0.0000
1,2380548.1057362910,0.1676
2,2362299.4067599704,0.3506
3,2342656.4312027069,0.5621
4,2309838.5157368686,0.8237
5,2256109.2483177534,1.1054
6,2176129.8302734336,1.4177
7,2088728.4651705062,2.0803
8,2022220.9915889795,2.9609
9,1988419.9777942926,3.8414
10,1978630.9423415586,4.7201
11,1972701.9137498299,4.8672
12,1968796.9877576574,5.7473
13,1965814.1896726061,6.6269
14,1963391.5268442708,7.5068
15,1961356.6928622192,8.3866
16,1959568.0663403447,9.2656
17,1957899.8814374728,10.1456
18,1956424.2260083810,11.0257
19,1954995.8969235935,11.9053
20,1953740.4976865617,12.7856
21,1952497.6724061468,13.6651
22,1951401.8021319187,14.5595
23,1950306.3368756061,15.4458
24,1949781.3377124809,16.2654
25,1949278.2159999870,17.1457
26,1944465.0857535920,17.6888
