# algo=mfree_shifted_cg problem=/workspace/bal/muell-gba146.txt
iter,cost,wall_s
0,2442177.0302083218,0.0000
1,2380794.2547191610,0.1304
2,2363174.9760658764,0.2509
3,2344239.1850894680,0.3769
4,2312050.6903279256,0.5133
5,2260191.2409482086,0.6752
6,2182877.3000308718,0.8817
7,2095075.4203356532,1.1342
8,2025580.6671078594,1.6001
9,1992092.3147678005,2.2257
10,1979799.7118508092,3.0019
11,1973991.1384246035,3.1232
12,1969160.4841151391,3.8996
13,1966195.9163240148,4.6752
14,1963844.8130434679,5.4512
15,1961796.6684634904,6.2277
16,1959954.7737486255,7.0036
17,1959874.8786910935,7.1299
18,1958115.5339802322,7.9103
19,1958021.0102403301,8.0359
20,1956581.8984427352,8.8116
21,1955113.3805299434,9.5877
22,1953820.0042665442,10.3642
23,1952569.8806162369,11.1407
24,1951453.8303821967,11.9166
25,1951404.0598790278,12.0393
26,1950310.6874217601,12.8153
27,1950283.2263051977,12.9417
28,1949299.1119008609,13.7175
29,1949227.8662667447,13.8456
30,1948267.5857630002,14.6216
31,1947408.8277814663,15.3975
32,1946546.9184276031,16.1732
33,1945791.2203002393,16.9494
