dataset,rep,final_cost,solve_seconds,iters,accepts,rejects,matvecs,returncode,process_wall_seconds
dubrovnik-88,1,359009.6956918733,2.722126,60,60,0,1179,0,3.4885386670939624
venice-52,1,243690.0196876985,5.609813,60,60,0,3759,0,6.2916182009503245
final-3068,1,1708824.9702052893,16.237866,60,60,10,2195,0,17.75907345628366
venice-52,2,243802.1481336059,5.640506,60,60,0,3782,0,6.23358139814809
final-3068,2,2148629.4503129870,9.351273,24,17,99,646,0,10.849493979942054
dubrovnik-88,2,359006.6544641852,2.634426,60,60,0,1132,0,3.2817806391976774
final-3068,3,2150400.2128278841,4.037090,9,8,23,459,0,5.485299500171095
dubrovnik-88,3,358968.6464561206,2.751086,60,60,0,1222,0,3.382452206220478
venice-52,3,243649.7203271536,5.804159,60,60,0,3873,0,6.390603078063577
dubrovnik-88,4,359014.1888668691,2.734938,60,60,0,1206,0,3.3870609188452363
venice-52,4,244220.2727448201,5.929354,60,60,0,4023,0,6.539856163784862
final-3068,4,2148440.1354041654,11.392915,29,21,132,682,0,12.85247384570539
venice-52,5,243597.0710405506,5.751916,60,60,0,3847,0,6.3301992933265865
final-3068,5,2149793.5322294240,7.792093,19,16,84,502,0,9.290947957895696
dubrovnik-88,5,359008.9699885321,2.599829,60,60,0,1107,0,3.2776123960502446
final-3068,6,2150674.3589933552,5.023467,12,10,42,439,0,6.63438086817041
dubrovnik-88,6,358987.5575005940,2.798762,60,60,0,1261,0,3.4312744340859354
venice-52,6,244264.4005334182,5.396182,60,60,0,3566,0,6.031015592161566
dubrovnik-88,7,358992.5440586311,2.681607,60,60,0,1159,0,3.32786683505401
venice-52,7,243944.0540559058,5.613981,60,60,0,3732,0,6.3982583517208695
final-3068,7,2150695.6054979237,3.407590,7,7,16,410,0,4.830836285371333
venice-52,8,244166.3734620536,5.583243,60,60,0,3734,0,6.185669851023704
final-3068,8,2148600.0453872327,6.373867,14,12,52,593,0,7.887045724783093
dubrovnik-88,8,359010.4896347130,2.679858,60,60,0,1178,0,3.337631339672953
final-3068,9,2148252.7821583073,19.790717,60,35,265,834,0,21.269346163608134
dubrovnik-88,9,359017.2216379147,2.708873,60,60,0,1194,0,3.429832502733916
venice-52,9,243823.9326128310,5.473299,60,60,0,3631,0,6.0912369773723185
dubrovnik-88,10,358962.2734467507,2.683931,60,60,0,1163,0,3.3383970609866083
venice-52,10,244350.5014522823,5.183200,60,60,0,3404,0,5.783618701156229
final-3068,10,2148662.9118780587,5.371060,11,10,36,577,0,6.7861508540809155
