# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620617,0.0030
2,25352.4264592253,0.0070
3,18889.6258743591,0.0135
4,15553.0927238128,0.0158
5,14410.2674519349,0.0187
6,13930.0220525536,0.0239
7,13907.6027241631,0.0357
8,13674.1989767927,0.0399
9,13656.0865005966,0.0483
10,13637.7675582349,0.0566
11,13616.6326433779,0.0609
12,13611.6378957351,0.0751
13,13607.3488279461,0.0904
14,13594.6395202668,0.1196
15,13588.8938148629,0.1332
16,13584.5154671440,0.1355
17,13583.7325860410,0.1480
18,13580.9178610286,0.1599
19,13580.2207895681,0.1718
20,13579.3008034381,0.1837
21,13579.0915641653,0.1957
22,13578.1960380782,0.2060
23,13578.1576683873,0.2163
24,13578.0179573258,0.2205
25,13578.0093347776,0.2257
26,13577.9980158421,0.2287
27,13577.9922784363,0.2329
28,13577.9916502070,0.2362
29,13577.9912396120,0.2398
30,13577.9907562427,0.2539
31,13577.9904862337,0.2584
32,13577.9904420130,0.2684
33,13577.9903719738,0.2755
34,13577.9903705627,0.2798
35,13577.9903639314,0.2859
36,13577.9903528866,0.2908
37,13577.9903527021,0.2950
38,13577.9903516428,0.3073
39,13577.9903498894,0.3118
40,13577.9903498460,0.3154
