# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893267155,0.0000
1,34818548.0048702657,0.3358
2,14580801.3346812129,0.9104
3,11930814.5335762817,1.8379
4,9235229.9640825093,2.2326
5,7848799.3964759074,2.6381
6,7396328.3120743763,3.0935
7,7390375.4395587966,3.5110
8,7293936.7313210089,3.9225
9,7201000.7263965756,4.7140
10,7181469.9379233606,5.4636
11,7158651.3021225780,6.3089
12,7143724.6273410292,6.9214
13,7142430.5362046752,7.4496
14,7133556.1958751651,8.3069
15,7114211.8767533805,9.1469
16,7108198.9856730122,9.6591
17,7088411.5904909540,10.1234
18,7080498.9471291909,10.6365
19,7073580.5153928194,11.3824
