# algo=mfree_shifted_cg problem=/workspace/bal/final-4585.txt
iter,cost,wall_s
0,602872963.4893308878,0.0000
1,34818548.0048703328,0.1592
2,14580801.3346813135,0.3948
3,11930814.5335561316,0.7569
4,9235229.9639589936,0.9739
5,7848799.6798095098,1.2020
6,7396333.2697830666,1.4456
7,7390127.9874624228,1.6847
8,7293684.4828879451,1.9183
9,7200936.8298127232,2.2731
10,7182043.6758552436,2.6179
11,7158370.2912070043,2.9934
12,7146176.5681415573,3.2789
13,7145712.9405793408,3.5511
14,7132890.6725069871,3.9724
15,7123016.2599317366,4.3177
16,7116318.5870043915,4.6627
17,7113102.1720512081,5.0384
18,7109927.7886940856,5.3339
19,7098711.8241982097,5.6801
20,7098166.6212419178,6.0717
21,7097719.9902480412,6.4630
22,7095947.0392479999,6.8988
23,7092928.4689360959,7.2902
24,7088945.2316946117,7.6824
25,7087120.5361696482,8.3433
26,7086807.1466574231,8.7047
27,7080045.3932178672,8.9914
28,7077342.4999862630,9.2932
29,7076829.5641322304,9.8741
30,7071198.0574697228,10.1485
