# algo=mfree_shifted_cg problem=/dev/shm/agent-fp32-2-1.txt
iter,cost,wall_s
0,602872961.7786424160,0.0000
1,34818548.1194967330,0.3359
2,14580803.5041114539,0.9134
3,11930806.8200930003,1.8423
4,9235228.9210985061,2.2385
5,7848691.6712545017,2.6444
6,7396259.1785929659,3.0987
7,7390250.0416652486,3.5156
8,7293876.2681209166,3.9271
9,7200988.7711206963,4.7185
10,7181603.2431027107,5.4681
11,7158568.1389474999,6.3129
12,7145232.7540968135,6.8778
13,7144300.2121421415,7.4058
14,7134341.4149096832,8.4057
15,7118952.6098721195,9.2500
16,7116491.6714839963,9.8199
17,7115321.1351696970,10.6802
18,7112320.1829853784,11.8758
19,7100028.5304601844,12.6303
20,7095112.2237076079,13.4270
21,7088669.1249801712,13.9025
22,7082154.2522165328,14.3352
23,7072686.3895194773,14.8540
