# algo=mfree_shifted_cg problem=/dev/shm/agent-fp32-0-0.txt
iter,cost,wall_s
0,850912.4602738199,0.0000
1,39707.8243785158,0.0027
2,25352.4265192496,0.0059
3,18889.6261043128,0.0109
4,15553.0929197618,0.0130
5,14410.2572909663,0.0154
6,13930.0226370223,0.0195
7,13907.5899114334,0.0284
8,13674.1989932073,0.0318
9,13656.0877073719,0.0382
10,13637.7679465292,0.0446
11,13616.6325365867,0.0479
12,13611.6376960111,0.0586
13,13607.3479862899,0.0699
14,13594.6386832361,0.0913
15,13588.8932587192,0.1014
