# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620617,0.0033
2,25352.4264592253,0.0082
3,18889.6258743591,0.0167
4,15553.0927238128,0.0193
5,14410.2674519349,0.0228
6,13930.0220525536,0.0294
7,13907.6027241631,0.0452
8,13674.1989767927,0.0505
9,13656.0865005966,0.0617
10,13637.7675582349,0.0729
11,13616.6326433779,0.0782
12,13611.6378957351,0.0975
13,13607.3488279461,0.1183
14,13594.6395202668,0.1586
15,13588.8938148629,0.1771
16,13584.5154671440,0.1797
17,13583.7325860410,0.1968
18,13580.9178610286,0.2131
19,13580.2207895681,0.2293
20,13579.3008034381,0.2456
21,13579.0915641653,0.2617
22,13578.1960380782,0.2757
23,13578.1576683873,0.2896
24,13578.0179573258,0.2949
25,13578.0093347776,0.3016
26,13577.9980158421,0.3050
27,13577.9922784363,0.3103
28,13577.9916502070,0.3143
29,13577.9912396120,0.3187
30,13577.9907562427,0.3381
31,13577.9904862337,0.3438
32,13577.9904420130,0.3573
33,13577.9903719738,0.3667
34,13577.9903705627,0.3720
35,13577.9903639314,0.3801
36,13577.9903528866,0.3863
37,13577.9903527021,0.3916
38,13577.9903516428,0.4082
39,13577.9903498894,0.4140
40,13577.9903498460,0.4184
