# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0046
2,25352.4264592253,0.0069
3,18889.6258743591,0.0104
4,15553.0927238128,0.0118
5,14410.2674519350,0.0135
6,13930.0220525536,0.0163
7,13907.6027241590,0.0226
8,13674.1989767906,0.0249
9,13656.0865007610,0.0293
10,13637.7675408911,0.0338
11,13616.6326447020,0.0361
12,13611.6381092101,0.0436
13,13607.3486548955,0.0516
14,13594.6391159039,0.0668
15,13588.8934851660,0.0737
16,13584.5155938576,0.0751
17,13583.7316807054,0.0816
18,13580.9179759300,0.0877
19,13580.2209055681,0.0939
20,13579.3010255176,0.1000
21,13579.0925664615,0.1064
22,13578.1959659555,0.1117
23,13578.1579925874,0.1171
24,13578.0179490996,0.1194
25,13578.0093247280,0.1222
26,13577.9980126785,0.1239
27,13577.9922819133,0.1262
28,13577.9916493581,0.1281
29,13577.9912382502,0.1301
30,13577.9907357459,0.1374
31,13577.9904862299,0.1400
32,13577.9904421128,0.1459
33,13577.9903718569,0.1499
34,13577.9903705611,0.1528
35,13577.9903639288,0.1593
36,13577.9903529277,0.1636
37,13577.9903526973,0.1664
38,13577.9903516376,0.1702
39,13577.9903498819,0.1727
40,13577.9903498472,0.1746
