# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0044
2,25352.4264592254,0.0064
3,18889.6258743591,0.0095
4,15553.0927238128,0.0108
5,14410.2674519350,0.0123
6,13930.0220525533,0.0148
7,13907.6027241984,0.0204
8,13674.1989768020,0.0225
9,13656.0865071950,0.0265
10,13637.7668472093,0.0304
11,13616.6328134799,0.0325
12,13611.6372834643,0.0392
13,13607.3483029575,0.0463
14,13594.6387206823,0.0597
15,13588.8936361003,0.0659
16,13584.5156937260,0.0671
17,13583.7318717960,0.0728
18,13580.9180145092,0.0783
19,13580.2209381163,0.0838
20,13579.3011547822,0.0893
21,13579.0915018872,0.0950
22,13578.1960053645,0.0997
23,13578.1578048620,0.1045
24,13578.0179534415,0.1066
25,13578.0093311428,0.1091
26,13577.9980142842,0.1106
27,13577.9922745808,0.1127
28,13577.9916501539,0.1144
29,13577.9912396085,0.1162
30,13577.9908039398,0.1226
31,13577.9904860538,0.1248
32,13577.9904418966,0.1294
33,13577.9903715896,0.1352
34,13577.9903705581,0.1367
35,13577.9903639232,0.1403
36,13577.9903528714,0.1428
37,13577.9903526956,0.1447
38,13577.9903516390,0.1465
39,13577.9903499365,0.1504
40,13577.9903498489,0.1530
