# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,77842.8599325673,0.0039
2,63436.9956801245,0.0049
3,52616.8068529976,0.0058
4,48947.6816701832,0.0068
5,48319.1061015713,0.0078
6,48251.7541257279,0.0087
7,48247.4727112092,0.0097
8,48246.9500726304,0.0107
9,48246.8998241627,0.0116
10,48246.8987324848,0.0126
11,48246.8987323344,0.0136
12,48246.8987323343,0.0146
13,48246.8987323342,0.0163
14,48246.8987323342,0.0180
15,48246.8987323342,0.0198
16,48246.8987323342,0.0315
17,48246.8987323342,0.0365
18,48246.8987323342,0.0395
19,48246.8987323342,0.0432
20,48246.8987323342,0.0466
21,48246.8987323342,0.0499
22,48246.8987323342,0.0532
23,48246.8987323342,0.0566
24,48246.8987323342,0.0599
