# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,2170136.3176783505,0.0121
2,869806.2790742536,0.0245
3,567418.6040721694,0.0411
4,400594.1646215621,0.0501
5,371447.4905173805,0.0651
6,362562.8273451136,0.0742
7,360836.3599988199,0.1024
8,359914.9213640883,0.1269
9,359384.4011025637,0.1386
10,359238.7391869482,0.1504
11,359181.9848353561,0.1621
12,359164.7393188875,0.1738
13,358998.7799460163,0.1828
14,358973.2910454785,0.1918
15,358961.1791595640,0.2035
16,358959.0371563135,0.2154
17,358952.7655422128,0.2323
18,358950.5516623486,0.2414
19,358949.9370164739,0.2531
20,358949.5933192962,0.2648
21,358949.2974895154,0.2765
22,358949.0116586571,0.2881
23,358948.7402468536,0.2999
24,358948.4750648040,0.3115
25,358948.2141065758,0.3233
26,358947.8973890527,0.3323
27,358947.5945482820,0.3414
28,358947.2791059140,0.3504
29,358946.9623654480,0.3594
30,358946.6498063188,0.3684
31,358946.3346863898,0.3775
32,358946.0205993320,0.3865
33,358945.7086043489,0.3955
