# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620617,0.0043
2,25352.4264592253,0.0064
3,18889.6258743591,0.0098
4,15553.0927238128,0.0110
5,14410.2674519349,0.0126
6,13930.0220525535,0.0153
7,13907.6027241651,0.0213
8,13674.1989770630,0.0236
9,13656.0864419254,0.0278
10,13637.7672458243,0.0320
11,13616.6327265720,0.0342
12,13611.6379487677,0.0415
13,13607.3485075231,0.0492
14,13594.6384644630,0.0641
15,13588.8930620726,0.0709
16,13584.5153913028,0.0721
17,13583.7320484218,0.0784
18,13580.9179614805,0.0844
19,13580.2208612996,0.0904
20,13579.3009141807,0.0963
21,13579.0919763633,0.1025
22,13578.1959826522,0.1077
23,13578.1578802854,0.1128
24,13578.0179611493,0.1151
25,13578.0093361208,0.1177
26,13577.9980164026,0.1193
27,13577.9922765277,0.1215
28,13577.9916506386,0.1232
29,13577.9912398352,0.1251
30,13577.9907661470,0.1322
31,13577.9904861225,0.1345
32,13577.9904419459,0.1395
33,13577.9904416849,0.1629
34,13577.9904415322,0.1737
35,13577.9904413836,0.1862
36,13577.9904412355,0.1926
37,13577.9904410879,0.1947
38,13577.9904409407,0.1993
39,13577.9904407941,0.2011
40,13577.9904406479,0.2061
