# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776591,0.0119
2,1506203.5600746707,0.0244
3,1127133.1806397112,0.0388
4,820037.3684094347,0.0523
5,497540.1090282744,0.0686
6,373473.4894694402,0.0856
7,312813.0364946320,0.1116
8,285659.0634870525,0.1278
9,271070.6846936276,0.1397
10,265559.8106795182,0.1526
11,262360.0382252912,0.1652
12,258725.3627024201,0.1768
13,257432.3101127497,0.1884
14,255127.8909822580,0.1973
15,253915.3050543248,0.2062
16,253204.2186851929,0.2152
17,252795.9803388501,0.2241
18,252186.4578840109,0.2330
19,251721.1277868569,0.2419
20,251342.4294135718,0.2508
21,251032.8188599363,0.2598
22,250775.4048556933,0.2687
23,250558.2852304797,0.2776
24,250372.8503403081,0.2865
25,250212.7155917759,0.2954
26,250073.0272321804,0.3043
27,249950.0084825643,0.3133
28,249840.8147216351,0.3222
29,249743.2261202226,0.3311
30,249358.7600079674,0.3400
31,249197.5889968204,0.3490
32,249057.6360264958,0.3579
33,248935.1937390736,0.3668
34,248826.8727138071,0.3757
35,248730.0327329540,0.3846
36,248642.6067294256,0.3935
37,248562.9656499243,0.4025
38,248419.8091934428,0.4123
39,248405.4282004469,0.4248
40,248402.0805227163,0.4375
41,248377.6541503474,0.4465
42,248354.7594357908,0.4554
43,248332.5070019747,0.4644
44,248310.8571079077,0.4733
45,248289.7735291224,0.4823
46,248269.2222163696,0.4912
47,248249.1713781165,0.5002
48,248229.5912046444,0.5091
49,248210.4538882340,0.5180
50,248175.1592526991,0.5279
51,248168.7298154684,0.5404
52,248052.7790712274,0.5537
53,247497.8556474477,0.5636
54,247479.9259079293,0.5752
55,247296.0866809894,0.5842
56,247028.5607061656,0.6014
57,246829.7741130814,0.6140
58,246821.7851637404,0.6258
59,246813.7039790011,0.6376
60,246805.1137445235,0.6494
61,246795.8758344906,0.6613
62,246786.0127561412,0.6730
63,246775.3247046107,0.6848
64,246764.1617596566,0.6966
65,246752.9443454230,0.7084
66,246741.9253505602,0.7202
67,246731.2433490733,0.7320
68,246720.9621499951,0.7438
69,246682.8363354377,0.7607
70,246589.2865530905,0.7752
71,246542.6252313004,0.7887
72,246533.9931791008,0.8003
73,246527.3327688076,0.8119
74,246521.4267604330,0.8235
75,246515.9124322259,0.8351
76,246510.6847942338,0.8467
77,246505.5935263780,0.8582
78,246500.5599685874,0.8698
79,246495.8440396290,0.8814
80,246491.5211334736,0.8931
81,246487.5862339064,0.9046
82,246484.0047884746,0.9162
83,246480.7351856501,0.9278
84,246477.7374901469,0.9394
85,246474.9761739066,0.9510
86,246472.4202977656,0.9626
87,246470.0425760591,0.9741
88,246467.8177685908,0.9857
89,246465.7200423984,0.9973
90,246463.7175477202,1.0089
91,246461.7580899682,1.0205
92,246458.9491550720,1.0347
93,246418.8939645495,1.0998
94,246416.6433568714,1.1087
95,246398.0404084881,1.1177
96,246352.9651606797,1.1275
97,246334.0792968691,1.2044
98,246331.9653148472,1.2134
99,246330.4748814753,1.2223
100,246329.1727064933,1.2312
101,246327.9921575240,1.2402
102,246326.9214893514,1.2491
103,246325.9436539638,1.2581
104,246325.0469557852,1.2670
105,246324.2206782959,1.2759
106,246323.4560778137,1.2849
107,246322.7457083614,1.2938
108,246322.0833030614,1.3027
109,246321.4635315081,1.3116
110,246320.8818531395,1.3205
111,246320.3343892984,1.3294
112,246319.8178312789,1.3384
113,246319.3293708993,1.3473
