# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0045
2,25352.4264592253,0.0069
3,18889.6258743591,0.0107
4,15553.0927238128,0.0121
5,14410.2674519348,0.0139
6,13930.0220525533,0.0169
7,13907.6027241931,0.0239
8,13674.1989767964,0.0265
9,13656.0865069205,0.0313
10,13637.7669456737,0.0361
11,13616.6327544418,0.0386
12,13611.6366927997,0.0469
13,13607.3461561443,0.0557
14,13594.6382508823,0.0725
15,13588.8929574485,0.0804
