# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0045
2,25352.4264592253,0.0069
3,18889.6258743591,0.0108
4,15553.0927238128,0.0122
5,14410.2674519349,0.0140
6,13930.0220525531,0.0171
7,13907.6027241893,0.0258
8,13674.1989778126,0.0283
9,13656.0866448823,0.0332
10,13637.7673602255,0.0381
11,13616.6326518373,0.0407
12,13611.6407715828,0.0491
13,13607.3511688152,0.0580
14,13594.6389801458,0.0768
15,13588.8928590147,0.0847
