# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0046
2,25352.4264592254,0.0069
3,18889.6258743591,0.0108
4,15553.0927238128,0.0122
5,14410.2674519349,0.0141
6,13930.0220525534,0.0171
7,13818.7199770724,0.0253
8,13796.0029151177,0.0318
9,13747.0283726209,0.0404
10,13736.8243164290,0.0480
11,13729.3957803701,0.0561
12,13707.9335847499,0.0648
13,13701.2406625387,0.0769
14,13699.0914376816,0.0901
15,13678.6650471213,0.1022
16,13638.5848710788,0.1218
17,13614.4847094728,0.1240
18,13604.7138176990,0.1333
19,13596.3306593415,0.1475
20,13592.2596597223,0.1539
21,13589.1961298179,0.1600
