# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624662,0.0000
1,2274695.1544776610,0.0120
2,1506203.5600746712,0.0247
3,1127133.1806397086,0.0392
4,820037.3684094254,0.0527
5,497540.1090291984,0.0690
6,373473.4894421670,0.0862
7,312813.0364422982,0.1123
8,285659.1182924323,0.1285
9,271070.7394085019,0.1405
10,265559.8241497822,0.1534
11,262360.0506351271,0.1662
12,258725.3808499351,0.1777
13,257432.8753152458,0.1894
14,255127.1228368116,0.1983
15,253915.6928211367,0.2073
16,253204.4857530376,0.2162
17,252796.0199398495,0.2251
18,252186.4482557828,0.2341
19,251721.1156022405,0.2431
20,251342.4145089517,0.2520
21,251032.8007530000,0.2609
22,250775.3835081796,0.2699
23,250558.2605275639,0.2788
24,250372.8218234662,0.2877
25,250212.6830989732,0.2966
26,250072.9907656022,0.3055
27,249949.9680131048,0.3145
28,249840.7706255946,0.3234
29,249743.1787784794,0.3324
30,249358.7159663911,0.3413
31,249197.5461578480,0.3503
32,249057.5952448548,0.3592
33,248935.1557169016,0.3682
34,248826.8379468835,0.3771
35,248730.0016532685,0.3860
36,248642.5795897724,0.3950
37,248562.9425898121,0.4039
38,248419.7886317070,0.4138
39,248405.4059581418,0.4263
40,248402.0545683353,0.4391
41,248377.6292454012,0.4480
42,248354.7352545068,0.4569
43,248332.4833877383,0.4659
44,248310.8338733402,0.4748
45,248289.7505062565,0.4838
46,248269.1992341437,0.4927
47,248249.1482070365,0.5016
48,248229.5676219382,0.5106
49,248210.4296565399,0.5195
50,248175.1260796071,0.5294
51,248168.6927322097,0.5419
52,248161.9163803768,0.5597
53,248155.2795219685,0.5687
54,248147.2796658205,0.5785
55,248144.9707695005,0.5884
56,248135.2536894353,0.5973
57,248122.2493541148,0.6063
58,248108.9966367235,0.6162
59,248105.9951128409,0.6260
60,248101.7846599225,0.6359
61,248071.6538110771,0.6458
62,248064.0339741150,0.6556
63,248059.3681135240,0.6655
64,248055.0059262766,0.6753
65,248050.8705285008,0.6852
66,248046.9545609322,0.6951
67,248043.2497568345,0.7049
68,248039.7480931934,0.7147
69,248023.1290685818,0.7237
70,248013.2568479895,0.7326
71,248009.8017004082,0.7425
72,247993.0989652709,0.7514
73,247983.3992783928,0.7603
74,247979.9506046039,0.7702
75,247963.1857680484,0.7792
76,247953.6595262593,0.7882
77,247950.1957900115,0.7980
78,247933.3911936564,0.8069
79,247924.0389353286,0.8159
80,247920.5354063985,0.8258
81,247918.0482018729,0.8347
82,247900.7265619168,0.8437
83,247891.3706814807,0.8527
84,247889.2356190163,0.8617
85,247872.0873571399,0.8706
86,247862.9775175065,0.8795
87,247858.9665256341,0.8894
88,247857.1606370178,0.8983
89,247839.5330490325,0.9073
90,247830.4047526343,0.9163
91,247828.8857951298,0.9252
92,247811.4830820324,0.9341
93,247802.5957901362,0.9431
94,247797.8086490027,0.9529
95,247796.5499650880,0.9619
96,247778.7164017743,0.9708
97,247769.8046820046,0.9797
98,247764.5148520737,0.9896
99,247746.8987037394,1.0038
100,247738.2096230282,1.0127
101,247732.5676431424,1.0226
102,247715.1827688111,1.0368
103,247706.7154412441,1.0458
104,247700.6667260662,1.0556
105,247683.5328004436,1.0699
106,247675.2855395357,1.0788
107,247668.7702927398,1.0887
108,247651.9064896467,1.1029
109,247643.8779294565,1.1118
110,247636.8345227803,1.1217
111,247620.2596993758,1.1359
112,247612.4488532851,1.1448
113,247604.8158047065,1.1547
114,247588.5487697624,1.1689
115,247543.7542159872,1.1788
116,247541.9604425042,1.1904
117,247541.5955952459,1.2029
118,247539.6162535801,1.2118
119,247538.9110537900,1.2208
120,247538.2062705848,1.2297
121,247537.5027297427,1.2387
122,247536.8000793370,1.2477
123,247536.0979020946,1.2566
124,247535.3957638901,1.2655
125,247534.6933145935,1.2745
126,247533.9900704070,1.2834
127,247533.2857166500,1.2923
128,247532.5799294144,1.3013
129,247531.8722190489,1.3102
130,247531.1621926405,1.3192
131,247530.4494791388,1.3281
