# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776582,0.0120
2,1506203.5600746705,0.0248
3,1127133.1806397103,0.0393
4,820037.3684094311,0.0529
5,497540.1090282992,0.0692
6,373473.4894684741,0.0864
7,312813.0364853416,0.1240
8,285659.0630949146,0.1402
9,271070.6825917938,0.1522
10,265559.8330815947,0.1652
11,262360.0311083987,0.1780
12,258725.3509284961,0.1896
13,257432.3616043034,0.2126
14,255127.0512020510,0.2215
15,253913.9607984429,0.2305
16,253204.5990302270,0.2395
17,252670.2616021664,0.2598
18,252398.1489205302,0.2801
19,251904.4584008985,0.2891
20,251473.5995213577,0.2981
21,251121.8816020818,0.3071
22,250834.4873743108,0.3160
23,250595.8786711192,0.3250
24,250394.9389418422,0.3340
25,250223.5193809942,0.3430
26,250075.5130885474,0.3522
27,249946.3871572716,0.3612
28,249832.7098035531,0.3701
29,249724.1695861103,0.3905
30,249633.7414430705,0.4108
31,249175.0679696707,0.4199
32,249008.0323039408,0.4288
33,248866.2234865885,0.4378
34,248744.6159306485,0.4468
35,248638.8806162729,0.4558
36,248545.7162635297,0.4648
37,248462.5911220313,0.4738
38,248293.4840899311,0.4838
39,248282.8405522229,0.5068
40,248137.9664187185,0.5157
41,247971.4213428681,0.5256
42,247957.9120207335,0.5382
43,247956.2883680505,0.5623
44,247943.9641283851,0.5713
45,247931.7144568869,0.5802
46,247919.5637170370,0.5892
47,247907.5056812802,0.5982
48,247895.5346100213,0.6072
49,247883.6452250243,0.6161
50,247871.8326537047,0.6251
51,247860.0924084877,0.6340
52,247848.4203544261,0.6430
53,247836.8126937954,0.6520
54,247825.2659424483,0.6609
55,247813.7769040285,0.6699
56,247767.5444714742,0.6798
57,247762.3393430937,0.6924
58,247699.5859751932,0.7057
59,247378.0610284740,0.7156
60,246976.2643856466,0.7254
61,246816.2722282619,0.7407
62,246803.7561582832,0.7525
63,246793.1386755755,0.7643
64,246783.3442869057,0.7762
65,246773.7942157088,0.7880
66,246764.2095352784,0.7999
67,246754.4895757968,0.8117
68,246744.4021584930,0.8236
69,246733.8974810325,0.8354
70,246723.3974487005,0.8472
71,246713.1671191307,0.8591
72,246703.3535882781,0.8709
73,246694.0229010713,0.8828
74,246685.1883594267,0.8946
75,246676.8321408172,0.9065
76,246668.9195172153,0.9183
77,246661.4084461972,0.9301
78,246654.2560657621,0.9419
79,246647.7609403801,0.9649
80,246638.8619165259,0.9766
81,246629.3679027239,0.9882
82,246619.4874526181,0.9999
83,246609.7321050555,1.0115
84,246600.3559812740,1.0231
85,246591.4363484825,1.0347
86,246582.9724988049,1.0464
87,246574.9358549585,1.0581
88,246542.8391908421,1.0690
