# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776605,0.0120
2,1506203.5600746688,0.0247
3,1127133.1806397073,0.0392
4,820037.3684094232,0.0528
5,497540.1090291898,0.0691
6,373473.4894428272,0.0863
7,312813.0364541645,0.1202
8,285659.1165500430,0.1364
9,271070.7323919283,0.1484
10,265559.8490880196,0.1614
11,262360.0603809874,0.1741
12,258725.3686590123,0.1858
13,257432.7628325695,0.2050
14,255128.3650379604,0.2140
15,253915.2296552896,0.2230
16,253203.9768762664,0.2320
17,252796.0288008895,0.2487
18,252186.4381024243,0.2577
19,251721.1071095021,0.2667
20,251342.4077515540,0.2757
21,251032.7959272792,0.2847
22,250775.3804275138,0.2937
23,250558.2590968527,0.3026
24,250372.8219953637,0.3116
25,250212.6849183091,0.3205
26,250072.9944519670,0.3296
27,249949.9734010209,0.3385
28,249840.7778061411,0.3475
29,249743.1879414279,0.3642
30,249358.7212437880,0.3732
31,249197.5512430909,0.3821
32,249057.6000173346,0.3911
33,248935.1599668880,0.4001
34,248826.8413578579,0.4091
35,248730.0041649116,0.4180
36,248642.5812089778,0.4271
37,248562.9431790174,0.4361
38,248419.7974815687,0.4460
39,248405.4165281386,0.4586
40,248402.0661326370,0.4790
41,248377.6383352223,0.4880
42,248354.7425080519,0.4970
43,248332.4889888820,0.5059
44,248310.8380962317,0.5149
45,248289.7535106472,0.5239
46,248269.2011574261,0.5329
47,248249.1491669861,0.5419
48,248229.5676471237,0.5508
49,248210.4285257947,0.5598
50,248175.0699932126,0.5697
51,248168.6487352772,0.5823
52,248161.8440428662,0.6078
53,248155.0963373132,0.6168
54,248146.2667126361,0.6267
55,248129.3444716573,0.6366
56,248124.4454195420,0.6464
57,248122.0409566156,0.6641
58,248111.4485331624,0.6730
59,248104.2842669384,0.6820
60,248097.1937907834,0.6910
61,248090.1770007028,0.6999
62,248083.2318073999,0.7089
63,248073.4365436656,0.7188
64,248071.4029268842,0.7364
65,248060.7001020548,0.7454
66,248053.8796922206,0.7543
67,248047.1228487662,0.7633
68,248040.4297745877,0.7722
69,248030.0306701247,0.7821
70,248028.1558584338,0.7997
71,248017.3164115435,0.8087
72,248010.7363706857,0.8177
73,248004.2127750238,0.8267
74,247997.7460523015,0.8356
75,247986.5987355914,0.8455
76,247984.8704039214,0.8631
77,247973.9013682916,0.8721
78,247967.5374984812,0.8811
79,247961.2238653387,0.8900
80,247954.9610956710,0.8991
81,247942.8999713896,0.9090
82,247941.1875899836,0.9266
83,247930.1129374455,0.9356
84,247923.9491872705,0.9446
85,247917.8302423141,0.9536
86,247911.7569104315,0.9626
87,247898.5960833920,0.9725
88,247896.8085906698,0.9900
89,247885.6622727863,0.9991
90,247879.6888889336,1.0080
91,247873.7555526547,1.0170
92,247859.5131192676,1.0269
93,247857.6608837870,1.0445
94,247846.4519034312,1.0535
95,247840.6222920624,1.0625
96,247834.8295465848,1.0714
97,247819.3276987204,1.0813
98,247817.3284350286,1.0989
99,247806.1005680141,1.1079
100,247800.4194298108,1.1168
101,247794.7722391741,1.1258
102,247789.1601923713,1.1348
103,247771.8852468915,1.1447
104,247769.5589454292,1.1625
105,247758.4016801977,1.1715
106,247752.9148617407,1.1805
107,247747.4584717628,1.1895
108,247728.4311861189,1.1993
109,247725.7936836674,1.2093
110,247724.1674701980,1.2209
111,247624.7620270877,1.2345
112,247263.7055784962,1.2444
113,246868.0271790955,1.2543
114,246813.2574124905,1.2727
115,246526.8457152202,1.2818
