# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776568,0.0119
2,1506203.5600746695,0.0245
3,1127133.1806397105,0.0390
4,820037.3684094319,0.0526
5,497540.1090282889,0.0689
6,373473.4894686121,0.0860
7,312813.0368432789,0.1121
8,285659.0637419173,0.1283
9,271070.6878880159,0.1403
10,265559.8182018727,0.1532
11,262360.0364865183,0.1659
12,258725.3688469571,0.1774
13,257432.3602151929,0.1891
14,255127.7248473057,0.1980
15,253914.3289716024,0.2070
16,253204.2289388686,0.2159
17,252796.0735694992,0.2249
18,252186.4715712418,0.2338
19,251721.1412758230,0.2428
20,251342.4428402833,0.2517
21,251032.8320496707,0.2607
22,250775.4176511401,0.2697
23,250558.2980828238,0.2786
24,250372.8629608804,0.2875
25,250212.7281293286,0.2965
26,250073.0397019955,0.3055
27,249950.0210027525,0.3144
28,249840.8270301540,0.3234
29,249743.2375099534,0.3323
30,249358.7738553921,0.3413
31,249197.6024290116,0.3502
32,249057.6488544563,0.3591
33,248935.2060779202,0.3680
34,248826.8845092185,0.3770
35,248730.0438492273,0.3859
36,248642.6171865537,0.3948
37,248562.9755480635,0.4037
38,248419.8181826113,0.4136
39,248405.4370640615,0.4261
40,248402.0723164268,0.4389
41,248377.6451057910,0.4478
42,248354.7483767086,0.4567
43,248332.4933260759,0.4656
44,248310.8403991709,0.4746
45,248289.7532711710,0.4835
46,248269.1980229845,0.4925
47,248249.1427368829,0.5014
48,248229.5576831427,0.5103
49,248210.4150414852,0.5193
50,248175.0439629678,0.5291
51,248168.6053808578,0.5416
52,248161.8217034740,0.5595
53,248155.1686526290,0.5684
54,248147.1188445746,0.5783
55,248144.1868542328,0.5882
56,248130.3545896414,0.5971
57,248106.5925427082,0.6069
58,248076.4559533758,0.6168
59,248069.0405874831,0.6266
60,248063.8741123895,0.6365
61,248059.0190467787,0.6464
62,248054.4235651782,0.6562
63,248050.0807200753,0.6661
64,248045.9835305722,0.6759
65,248042.1236023804,0.6858
66,248038.4931167277,0.6957
67,248035.0825870877,0.7056
68,248019.0105522204,0.7146
69,248009.3563315843,0.7235
70,248006.0248980772,0.7333
71,247989.8567196955,0.7424
72,247980.3685882214,0.7514
73,247977.0740441384,0.7613
74,247960.8282389733,0.7703
75,247951.5057129268,0.7792
76,247948.2247421973,0.7891
77,247931.9205337739,0.7981
78,247922.7627705463,0.8071
79,247919.4680849402,0.8169
80,247903.1247854393,0.8259
81,247894.1306070046,0.8348
82,247890.7917072358,0.8447
83,247874.4285522040,0.8536
84,247865.5964938978,0.8625
85,247862.1783926924,0.8724
86,247860.3722201834,0.8814
87,247843.4933552498,0.8903
88,247834.6308589519,0.8992
89,247833.1186776958,0.9082
90,247816.4105081054,0.9171
91,247807.7685529392,0.9260
92,247803.7086782014,0.9359
93,247802.4649049451,0.9448
94,247785.2790315715,0.9538
95,247776.5940638211,0.9627
96,247760.2151820997,0.9769
97,247751.9705926031,0.9859
98,247747.1837000768,0.9958
99,247730.8938950536,1.0099
100,247722.8183272368,1.0189
101,247717.7170072454,1.0288
102,247701.5587653783,1.0430
103,247693.6524732251,1.0520
104,247688.1825107077,1.0618
105,247672.1759673924,1.0760
106,247664.4388310343,1.0850
107,247658.5436448226,1.0948
108,247642.7090980358,1.1090
109,247606.1457116910,1.1189
110,247604.1643582027,1.1306
111,247603.7296003118,1.1431
112,247601.6470792297,1.1521
113,247599.9403889553,1.1619
114,247598.2253260461,1.1718
115,247597.3315055407,1.1808
116,247596.4418069797,1.1897
117,247595.5559478205,1.1987
118,247594.6734417332,1.2076
119,247593.7938748327,1.2165
120,247592.9168234116,1.2255
121,247592.0418701090,1.2344
122,247591.1685943320,1.2434
123,247590.2965786090,1.2523
124,247589.4254037274,1.2612
125,247588.5546520131,1.2702
