# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776540,0.0120
2,1506203.5600746700,0.0246
3,1127133.1806397096,0.0391
4,820037.3684094291,0.0526
5,497540.1090282400,0.0689
6,373473.4894686354,0.0861
7,312813.0368426355,0.1122
8,285659.0636866872,0.1284
9,271070.6839417673,0.1404
10,265559.8343232644,0.1533
11,262360.0561708959,0.1660
12,258725.3803382678,0.1776
13,257432.2549038985,0.1893
14,255126.9830641119,0.1982
15,253914.3847338903,0.2072
16,253204.1643098677,0.2161
17,252796.0272683729,0.2250
18,252186.4520607408,0.2339
19,251721.1229867867,0.2429
20,251342.4259631353,0.2518
21,251032.8167811857,0.2608
22,250775.4042094653,0.2697
23,250558.2864200085,0.2787
24,250372.8528786573,0.2876
25,250212.7196478986,0.2965
26,250073.0331287132,0.3055
27,249950.0159660182,0.3144
28,249840.8238005127,0.3234
29,249743.2360002174,0.3323
30,249358.7697811175,0.3413
31,249197.5981920781,0.3502
32,249057.6446171525,0.3591
33,248935.2017889245,0.3681
34,248826.8799965763,0.3771
35,248730.0392272179,0.3860
36,248642.6123797361,0.3950
37,248562.9704296837,0.4039
38,248419.8124263367,0.4138
39,248405.4345460371,0.4263
40,248402.0795799042,0.4390
41,248377.6521421112,0.4479
42,248354.7564087450,0.4569
43,248332.5030072535,0.4658
44,248310.8522295028,0.4748
45,248289.7677355195,0.4837
46,248269.2154424513,0.4927
47,248249.1634037764,0.5017
48,248229.5816338521,0.5106
49,248210.4418769955,0.5195
50,248175.1151310713,0.5294
51,248168.6724850053,0.5419
52,248146.8166770379,0.5552
53,248123.8915367606,0.5642
54,248100.2280779915,0.5731
55,248075.1258599611,0.5820
56,248040.5759434101,0.5910
57,248002.2409841506,0.5999
58,247973.3199130396,0.6089
59,247944.5629739655,0.6178
60,247915.5229120780,0.6268
61,247886.2421802423,0.6357
62,247856.7754844693,0.6446
63,247827.1768837691,0.6536
64,247797.4995678939,0.6626
65,247767.7944889108,0.6715
66,247738.1098769033,0.6804
67,247708.4906960843,0.6894
68,247467.5995841886,0.6993
69,247452.7850448927,0.7109
70,247436.9838586791,0.7225
71,247420.0625884268,0.7341
72,247402.1487901490,0.7457
73,247383.3936296675,0.7573
74,247363.9383754130,0.7689
75,247343.9126471855,0.7804
76,247323.4326195004,0.7920
77,247302.6052937664,0.8037
78,247281.5270859490,0.8152
79,247260.2836815015,0.8268
80,247238.9474582250,0.8384
81,246841.9158654607,0.8483
82,246768.0160338626,0.8617
83,246759.2095836982,0.8736
84,246751.2530556669,0.8855
85,246743.4997277900,0.8973
86,246735.6007612274,0.9092
87,246727.3983576136,0.9210
88,246718.8588107074,0.9328
89,246710.0112784127,0.9446
90,246700.9156159867,0.9565
91,246691.6495448884,0.9682
92,246682.2845277552,0.9800
93,246672.8893009990,0.9918
94,246663.2490292763,1.0036
95,246653.4701606645,1.0154
96,246643.8408877713,1.0271
97,246634.5119288297,1.0390
98,246625.5461984060,1.0508
99,246616.9538270730,1.0626
100,246608.7166412264,1.0743
101,246600.8019947794,1.0862
102,246537.2686449899,1.0996
