# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783454,0.0120
2,869806.2790742526,0.0246
3,567418.6040721684,0.0414
4,400594.1646215617,0.0504
5,371447.4905174173,0.0655
6,362562.8273450804,0.0745
7,360836.3599433148,0.1029
8,360309.5454075422,0.1119
9,360220.8310748613,0.1236
10,360192.0429274004,0.1354
11,360179.3987841081,0.1471
12,360170.5839560513,0.1590
13,360164.6787324806,0.1711
14,360161.1521381174,0.1831
15,360159.5866853400,0.1953
16,360146.3865830681,0.2068
17,360138.7356871389,0.2234
18,360138.2454615472,0.2354
19,360137.7737646742,0.2474
20,360137.3148237602,0.2594
21,360136.8653427974,0.2713
22,360136.4234514231,0.2833
23,360135.9880899372,0.2953
24,360135.5586600677,0.3073
25,360135.1348268804,0.3194
26,360134.7119568950,0.3335
27,360134.2990097705,0.3426
28,360133.8912197020,0.3516
29,360133.4885831598,0.3606
30,360133.0910940291,0.3697
31,360132.6987425268,0.3787
32,360132.3115165828,0.3877
33,360131.9294011652,0.3967
