# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0044
2,25352.4264592253,0.0065
3,18889.6258743591,0.0098
4,15553.0927238128,0.0111
5,14410.2674519349,0.0126
6,13930.0220525536,0.0153
7,13907.6027241638,0.0213
8,13674.1989771947,0.0235
9,13656.0864097617,0.0277
10,13637.7676357063,0.0319
11,13616.6326883312,0.0341
12,13611.6356230426,0.0413
13,13607.3453139388,0.0490
14,13594.6385435619,0.0635
15,13588.8937126309,0.0701
