# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,39707.8244620618,0.0044
2,25352.4264592253,0.0065
3,18889.6258743591,0.0098
4,15553.0927238128,0.0110
5,14594.0762064946,0.0128
6,14132.8889525000,0.0148
7,13886.7101094460,0.0184
8,13748.3003118195,0.0204
9,13740.1786564416,0.0260
10,13711.3720533403,0.0371
11,13693.5125088992,0.0428
12,13684.0926984119,0.0482
13,13634.0297529666,0.0502
14,13628.6674702856,0.0555
15,13625.5944505980,0.0607
16,13615.9647900493,0.0655
17,13614.5794112450,0.0687
18,13607.1549672736,0.0701
19,13605.1467811146,0.0734
20,13602.2243934925,0.0767
21,13598.0177555270,0.0801
22,13591.8716863938,0.0834
23,13588.7420757624,0.0867
