# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413029,0.0000
1,26057.3663154253,0.0059
2,18260.2766334215,0.0094
3,15346.5521314755,0.0126
4,14205.0130459154,0.0161
5,13828.1490893339,0.0200
6,13717.4323188356,0.0267
7,13685.2745322416,0.0335
8,13667.4029473163,0.0416
9,13651.0605666104,0.0532
10,13635.4794807331,0.0650
11,13626.5533513519,0.0766
12,13623.7735409893,0.0846
13,13621.5464489221,0.0996
14,13613.2402842653,0.1066
15,13609.7728832151,0.1135
16,13600.6970384538,0.1200
17,13595.8991850272,0.1287
18,13592.7179829867,0.1336
19,13591.0356873035,0.1385
