# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,26057.3663154273,0.0059
2,18260.2766334212,0.0094
3,15346.5521314754,0.0126
4,14205.0130459152,0.0161
5,13828.1490893325,0.0200
6,13717.4323186452,0.0267
7,13685.2747929815,0.0334
8,13682.5111159073,0.0361
9,13664.6607462443,0.0435
10,13647.6782658538,0.0509
11,13637.9932371086,0.0583
12,13634.4252952953,0.0657
13,13632.4923231577,0.0728
14,13610.0828299595,0.0799
15,13605.9950982999,0.0870
16,13604.8631271461,0.1006
17,13600.2153622139,0.1069
18,13599.1096857321,0.1184
19,13595.3424542282,0.1210
20,13594.6812335508,0.1241
21,13594.1005036292,0.1289
22,13592.9968600546,0.1340
23,13590.9425554350,0.1392
