# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,31936.2980108224,0.0053
2,18961.9824993474,0.0081
3,15127.0716615252,0.0108
4,14076.3263662723,0.0137
5,13798.8703881305,0.0170
6,13708.0609225916,0.0236
7,13677.2749415996,0.0302
8,13659.7215682186,0.0472
9,13643.3503014154,0.0579
10,13627.6967737967,0.0692
11,13618.1082236029,0.0804
12,13614.2385925644,0.0890
13,13612.0583566179,0.0970
14,13604.9886191175,0.1042
15,13602.2358933114,0.1108
16,13593.1373924593,0.1170
17,13589.7464234467,0.1275
