# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413029,0.0000
1,31936.2980108228,0.0052
2,18961.9824993474,0.0079
3,15127.0716615253,0.0107
4,14076.3263662724,0.0135
5,13798.8703881305,0.0168
6,13708.0609225842,0.0234
7,13677.7972326651,0.0297
8,13659.9464749228,0.0363
9,13643.0639844574,0.0432
10,13627.1560267042,0.0501
11,13621.6942710600,0.0571
12,13619.3234006845,0.0697
13,13611.1428836129,0.0761
14,13608.0043480764,0.0823
15,13598.7896390218,0.0875
16,13594.7232005580,0.0896
17,13592.5712379049,0.0920
18,13591.8288973184,0.0941
19,13588.7434570713,0.1007
