# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,38233.8227022430,0.0056
2,25372.8571681673,0.0086
3,18891.7579054480,0.0129
4,15445.9704887674,0.0152
5,14108.8626722399,0.0178
6,13772.2566284217,0.0215
7,13733.5099196315,0.0291
8,13712.2287018601,0.0366
9,13692.4396652537,0.0442
10,13662.2998166650,0.0594
11,13649.3388065002,0.0669
12,13641.8554121655,0.0747
13,13638.6114278313,0.0825
14,13632.0828139833,0.0904
15,13625.6084317887,0.0982
16,13619.9980751714,0.1060
17,13617.3453330070,0.1138
18,13608.9374702557,0.1214
19,13597.6740973308,0.1291
20,13595.4204548722,0.1368
21,13591.6226009830,0.1445
22,13587.6056214292,0.1522
