# algo=mfree_shifted_cg problem=/workspace/bal/ladybug-49.txt
iter,cost,wall_s
0,850912.4606413026,0.0000
1,38233.8227022430,0.0054
2,25372.8571681673,0.0085
3,18891.7579054480,0.0128
4,15445.9704887675,0.0151
5,14517.6042484141,0.0179
6,14109.7344604602,0.0209
7,13786.7563899514,0.0241
8,13743.5741949087,0.0315
9,13675.9940337713,0.0346
10,13664.9747778532,0.0413
11,13653.5126818378,0.0436
12,13645.6926017907,0.0503
13,13636.8405246555,0.0572
14,13632.4555358969,0.0641
15,13631.0612047348,0.0710
16,13629.4945449423,0.0779
17,13628.6220699914,0.0849
18,13625.4802561360,0.0918
19,13622.4230940811,0.0987
20,13618.3448730364,0.1056
21,13612.8677405323,0.1124
22,13609.1061514852,0.1193
23,13603.9282168692,0.1261
24,13601.1501954068,0.1330
25,13596.3345291692,0.1399
26,13593.9904646374,0.1468
27,13589.4540508577,0.1536
