# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776573,0.0120
2,1506203.5600746709,0.0246
3,1127133.1806397117,0.0391
4,820037.3684094265,0.0526
5,497540.1090292166,0.0689
6,373473.4894423927,0.0860
7,312813.0364542946,0.1122
8,285659.1147178222,0.1285
9,271070.7313210432,0.1405
10,265559.8240942243,0.1534
11,262360.0444353374,0.1661
12,258725.3637613595,0.1777
13,257432.7521928933,0.1893
14,255128.6036601834,0.1983
15,253915.7371562416,0.2072
16,253204.0331832513,0.2161
17,252795.9814320374,0.2250
18,252186.4542560341,0.2340
19,251721.1225291168,0.2430
20,251342.4222792030,0.2519
21,251032.8095464547,0.2609
22,250775.3930942822,0.2698
23,250558.2707130926,0.2787
24,250372.8326839131,0.2877
25,250212.6946485185,0.2966
26,250073.0028662157,0.3056
27,249949.9809661416,0.3145
28,249840.7845542549,0.3234
29,249743.1937584876,0.3324
30,249358.7288291534,0.3413
31,249197.5587647763,0.3503
32,249057.6073041709,0.3592
33,248935.1670352442,0.3682
34,248826.8483453945,0.3771
35,248730.0110174335,0.3860
36,248642.5877839410,0.3950
37,248562.9495924546,0.4040
38,248419.7955238378,0.4138
39,248405.4195516483,0.4264
40,248402.0434845765,0.4391
41,248377.6196541295,0.4480
42,248354.7259591414,0.4570
43,248332.4739325952,0.4659
44,248310.8237097015,0.4748
45,248289.7387046069,0.4838
46,248269.1841980898,0.4927
47,248249.1272027967,0.5017
48,248229.5353249952,0.5106
49,248210.3740772065,0.5195
50,248175.0209215978,0.5294
51,248168.2092102655,0.5420
52,248164.5536623840,0.5519
53,248154.3266724402,0.5608
54,248151.9002483208,0.5707
55,248140.9845851513,0.5797
56,248133.4405302606,0.5886
57,248131.1625460624,0.5985
58,248119.9275180193,0.6074
59,248110.5578857769,0.6164
60,248080.0866512041,0.6262
61,248072.4363272571,0.6361
62,248067.7170039591,0.6460
63,248063.3065055589,0.6559
64,248059.1296518263,0.6657
65,248055.1785657662,0.6756
66,248051.4457525136,0.6855
67,248047.9226703611,0.6954
68,248031.3188732575,0.7043
69,248021.3920821131,0.7133
70,248017.9285099284,0.7231
71,248001.2428711358,0.7321
72,247991.4933892252,0.7410
73,247988.0484617410,0.7509
74,247971.3017027998,0.7598
75,247961.7297964355,0.7688
76,247958.2827490862,0.7787
77,247941.4962771202,0.7876
78,247932.1018177150,0.7966
79,247928.6273550304,0.8064
80,247926.0329787892,0.8153
81,247908.7335940548,0.8243
82,247899.3416071469,0.8332
83,247897.1092592633,0.8422
84,247879.9844307190,0.8511
85,247870.8427508245,0.8601
86,247866.8918280739,0.8699
87,247864.9983470120,0.8789
88,247847.3954231067,0.8878
89,247838.2393380277,0.8967
90,247833.9908536616,0.9066
91,247832.4224683555,0.9155
92,247814.3754852827,0.9245
93,247805.2056779857,0.9334
94,247803.9028483862,0.9424
95,247786.1320217687,0.9513
96,247777.2161013244,0.9602
97,247772.0236860029,0.9701
98,247770.9535941741,0.9791
99,247752.7933710605,0.9880
100,247743.8610154710,0.9970
101,247726.6569679218,1.0112
102,247692.9184493051,1.0210
103,247687.4022177987,1.0309
104,247670.8530021588,1.0451
105,247662.8912873476,1.0540
106,247656.8983120836,1.0639
107,247640.5724141964,1.0781
108,247632.8013320139,1.0870
109,247626.2942039347,1.0969
110,247610.2057933430,1.1111
111,247602.6258100877,1.1200
112,247595.5535034291,1.1299
113,247593.5096381851,1.1415
114,247593.0863352570,1.1541
115,247590.9101733703,1.1630
116,247590.0475764031,1.1720
117,247589.1855679461,1.1809
118,247588.3253073332,1.1899
119,247587.4663891170,1.1988
120,247586.6083865360,1.2078
121,247585.7508830653,1.2167
122,247584.8934613220,1.2256
123,247584.0357054263,1.2346
124,247583.1771985789,1.2435
125,247582.3175258345,1.2525
126,247581.4562712156,1.2614
127,247580.5930197643,1.2703
128,247579.7273565172,1.2793
