# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776610,0.0120
2,1506203.5600746702,0.0246
3,1127133.1806397131,0.0391
4,821335.7371586073,0.0517
5,498462.1494164211,0.0671
6,359332.3107178201,0.0833
7,294542.8337073663,0.0948
8,292851.2951336451,0.1076
9,281825.2552862286,0.1165
10,274080.0389154490,0.1290
11,271820.2747360030,0.1380
12,269434.6387757139,0.1469
13,266187.8471597731,0.1559
14,262989.4876785896,0.1648
15,260607.4808745455,0.1737
16,259201.8547999260,0.1827
17,258496.8231055250,0.1916
18,258101.3435565257,0.2006
19,257042.4955226640,0.2121
20,256530.4594191643,0.2238
21,256409.9222128653,0.2327
22,255983.0808263864,0.2416
23,255825.4576054172,0.2505
24,255690.6112563553,0.2595
25,255592.4378258114,0.2684
26,255558.8314741648,0.2783
27,255476.5145377138,0.2872
28,255403.3285501646,0.2962
29,255380.3298216651,0.3061
30,255315.5588359447,0.3150
31,255257.3644481040,0.3240
32,255204.8630842603,0.3330
33,255157.2814025233,0.3419
34,255147.2740259918,0.3518
35,255128.1200738568,0.3607
36,255097.6295634669,0.3697
37,255068.8174862578,0.3787
38,255041.5616627466,0.3876
39,255029.9581924259,0.3975
40,255004.4925279733,0.4064
41,254993.8478177937,0.4163
42,254970.0093285935,0.4252
43,254947.3330343850,0.4342
44,254937.8665832407,0.4440
45,254916.5871689956,0.4529
46,254907.9655664893,0.4628
47,254887.9689745820,0.4718
48,254868.8731709316,0.4807
49,254861.2865064378,0.4906
50,254843.3128519012,0.4995
51,254826.1130584151,0.5084
52,254819.4863536199,0.5183
53,254803.2730053668,0.5273
54,254787.7306310704,0.5362
55,254772.8231182850,0.5451
56,254767.2780475522,0.5550
57,254753.2012637027,0.5639
58,254739.6768600729,0.5728
59,254726.6781408736,0.5818
60,254714.1764631237,0.5907
61,254709.7724157094,0.6006
62,254697.9476347285,0.6096
63,254686.5590854870,0.6185
64,254675.5881485016,0.6274
65,254665.0137747627,0.6363
66,254654.8162926028,0.6453
67,254644.9772733383,0.6542
68,254635.4793725169,0.6631
69,254626.3062924101,0.6721
70,254617.4426293815,0.6810
71,254608.8737865547,0.6900
72,254600.5859284768,0.6989
73,254592.5658613334,0.7079
74,254584.8010101064,0.7168
75,254577.2793642446,0.7258
76,254569.9893692609,0.7347
77,254562.9199148286,0.7436
78,254556.0603240200,0.7526
79,254549.4002957968,0.7615
80,254542.9298051697,0.7705
81,254536.6392065427,0.7794
82,254530.5190695351,0.7884
83,254524.5602158062,0.7973
84,254518.7536835052,0.8062
85,254513.0907402613,0.8151
86,254507.5628299976,0.8241
87,254502.1615464736,0.8331
88,254496.8786422950,0.8420
89,254491.7060113975,0.8510
90,254486.6356640692,0.8599
91,254481.6597376357,0.8688
92,254476.7704834804,0.8777
93,254471.9602029609,0.8867
94,254467.2213031775,0.8957
95,254462.5463038743,0.9046
96,254457.9277823041,0.9135
97,254453.3583698355,0.9225
98,254448.8307883655,0.9315
99,254444.3378372313,0.9404
100,254439.8723535257,0.9493
101,254435.4272153085,0.9583
102,254430.9954362287,0.9673
103,254426.5700431853,0.9762
