# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2035687.8187596137,0.0235
2,1375474.5537426258,0.0466
3,1103222.4393237177,0.0770
4,810216.8713578138,0.1038
5,471828.4947504068,0.1352
6,370194.6579984316,0.1619
7,295540.1334240727,0.1850
8,277776.7725584321,0.2091
9,270294.1676294800,0.2295
10,269021.4097100174,0.2498
11,263392.3232554137,0.2702
12,261281.9067575705,0.2905
13,260136.4608253999,0.3108
14,258582.4334364839,0.3312
15,257532.4642674824,0.3515
16,256954.2107930616,0.3718
17,256617.5502394052,0.3922
18,256235.2428928626,0.4292
19,256088.7329627027,0.4495
20,255765.9239350228,0.4699
21,255597.9952443239,0.4929
22,255462.3180220308,0.5132
23,255392.9182520184,0.5336
24,255364.7732237299,0.5558
25,255263.3891756944,0.5788
26,255235.3650997557,0.5991
27,255188.7216316388,0.6194
28,255181.6778819519,0.6416
29,255156.6175797554,0.6620
30,255115.1997821557,0.6823
31,255106.8434340445,0.7230
32,255095.5584045709,0.7452
33,255084.9503177970,0.7674
34,255048.2328454433,0.7877
35,255038.4716427059,0.8125
36,255029.3435298114,0.8374
37,254984.4752625729,0.8578
38,254976.6032035565,0.8826
39,254937.9434984742,0.9029
40,254931.2630909190,0.9278
41,254897.8904610397,0.9481
42,254892.3607468286,0.9729
43,254863.5955802833,0.9933
44,254838.0078601245,1.0136
45,254815.2720631911,1.0340
46,254795.1935822455,1.0543
47,254777.4284735817,1.0747
48,254319.1908211176,1.0994
49,253497.6861750871,1.1244
50,252682.1228660072,1.1493
51,252543.5246227783,1.1715
52,252423.0545093826,1.1974
53,252367.4294225534,1.2250
54,252341.2936949720,1.2463
55,252321.1178405840,1.2676
56,252305.0768247005,1.2888
57,252292.1993271926,1.3100
58,252280.0641599448,1.3386
59,252272.1616797427,1.3599
60,252265.0101612198,1.3849
61,252259.1333002035,1.4135
62,252254.3119999580,1.4366
63,252250.2086863576,1.4616
64,252246.7089193669,1.4847
65,252243.6484245212,1.5152
66,252241.0166969125,1.5392
67,252238.7133473535,1.5633
68,252236.6831133693,1.5903
69,252234.8790734312,1.6154
70,252233.2657172669,1.6403
71,252231.8071440814,1.6689
72,252230.4986649543,1.6929
73,252229.3059359497,1.7178
74,252228.2113774951,1.7427
75,252227.2017384430,1.7677
76,252226.2650641254,1.7927
77,252225.3887009773,1.8204
78,252224.5713910336,1.8435
79,252223.7997741201,1.8684
80,252223.0697667599,1.8915
81,252222.3715916967,1.9192
82,252221.7066526915,1.9423
