# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2035687.8187596132,0.0233
2,1375474.5537426246,0.0464
3,1103222.4393237184,0.0769
4,810216.8713578020,0.1037
5,479126.7317694186,0.1305
6,308304.9826808466,0.1554
7,285829.7488487324,0.1758
8,277983.5058960164,0.1961
9,273429.3721053358,0.2165
10,270928.5920830128,0.2368
11,267058.3225093762,0.2571
12,264464.1621335746,0.2775
13,261301.5689848875,0.2978
14,259776.7040256863,0.3182
15,258713.8756420557,0.3385
16,257958.6416377343,0.3589
17,257483.1797982936,0.3792
18,257014.6040482581,0.4022
19,256740.0522994090,0.4252
20,256670.4251079094,0.4483
21,256393.0072345689,0.4686
22,256243.2891834681,0.4890
23,256130.6570224662,0.5093
24,256045.6049214283,0.5297
25,255982.7003725289,0.5500
26,255930.4982030432,0.5704
27,255862.7616047332,0.5907
28,255803.5016791291,0.6111
29,255751.3182943026,0.6314
30,255705.1276408095,0.6518
31,255664.0827957053,0.6721
32,255627.5148715708,0.6924
33,255594.8897709236,0.7128
34,255565.7760366022,0.7332
35,255539.8211994326,0.7535
36,255516.7337259981,0.7739
37,255496.2695840787,0.7942
38,255478.2218058537,0.8145
39,255462.4126460853,0.8349
40,255449.8235354111,0.8552
41,255431.6289408194,0.8755
42,255414.3073040135,0.8959
43,255397.7992915522,0.9162
44,255382.0507049579,0.9366
45,255367.0119743371,0.9569
46,255352.6376726561,0.9773
47,255338.8860860211,0.9976
48,255325.7188225571,1.0179
49,255313.1004800313,1.0383
50,255300.9983229323,1.0586
51,255289.3820288603,1.0790
52,255278.2234374883,1.0993
53,255267.4963464683,1.1197
54,255257.1763008458,1.1401
55,255247.2404455952,1.1604
56,255237.6673380139,1.1808
57,255228.4368583573,1.2011
58,255219.5300313459,1.2214
59,255210.9289583538,1.2418
60,255202.6167076278,1.2621
61,255194.5772106725,1.2824
62,255186.7951874127,1.3027
63,255179.2560658260,1.3230
64,255171.9459470295,1.3434
65,255164.8515147000,1.3637
66,255157.9599889946,1.3841
67,255151.2590937395,1.4044
68,255144.7369879254,1.4248
69,255138.3822471098,1.4451
70,255132.1838141292,1.4655
71,255126.1309785299,1.4858
72,255120.2133466004,1.5061
73,255114.4207922858,1.5264
74,255108.7434861254,1.5467
75,255103.1718056395,1.5671
76,255097.6963874612,1.5875
77,255092.3080550883,1.6079
78,255086.9978307178,1.6283
79,255081.7569239264,1.6486
80,255076.5767119205,1.6690
81,255071.4487206313,1.6893
82,255066.3646495613,1.7096
83,255061.3163276045,1.7299
84,255056.2957366101,1.7502
85,255051.2949693637,1.7706
86,255046.3062785694,1.7909
87,255041.3220367959,1.8112
88,255036.3347413237,1.8316
89,255031.3370308191,1.8519
90,255026.3216356391,1.8722
91,255021.2814481358,1.8926
92,255016.2094785360,1.9128
93,255011.0988477422,1.9332
94,255005.9428464975,1.9535
95,255000.7348822567,1.9739
96,254995.4685006222,1.9942
97,254990.1374003304,2.0146
98,254984.7354160190,2.0349
99,254979.2565460774,2.0552
100,254973.6949561337,2.0756
101,254968.0449443630,2.0959
102,254962.3009952460,2.1163
103,254956.4577683369,2.1366
104,254950.5100842502,2.1570
105,254944.4529695558,2.1773
106,254938.2816251635,2.1977
107,254931.9914599469,2.2181
108,254925.5780618181,2.2384
109,254919.0372632320,2.2587
110,254912.3650607446,2.2791
111,254905.5576477420,2.2994
112,254898.6115143792,2.3198
113,254891.5233205693,2.3402
114,254884.2899326830,2.3605
115,254876.9084981663,2.3808
116,254869.3763477165,2.4012
117,254861.6911092796,2.4215
118,254853.8505853141,2.4419
119,254845.8528344041,2.4623
120,254837.6961626615,2.4827
121,254829.3790992002,2.5030
122,254820.9004261734,2.5233
123,254812.2591499082,2.5437
124,254803.4545247329,2.5640
125,254794.4860153747,2.5843
126,254785.3533340365,2.6047
127,254776.0564293378,2.6250
128,254766.5954518545,2.6454
129,254756.9708003398,2.6657
130,254747.1830411702,2.6861
131,254737.2330063974,2.7065
132,254727.1216717373,2.7268
133,254716.8502509220,2.7471
134,254706.4201098165,2.7675
135,254695.8327793132,2.7879
136,254685.0900337589,2.8082
137,254674.1937512600,2.8286
138,254663.1459739427,2.8489
139,254651.9488815069,2.8692
140,254640.6047762019,2.8896
141,254629.1160955652,2.9099
142,254617.4853885826,2.9303
143,254605.7152834730,2.9507
144,254593.8085344636,2.9710
145,254581.7679319997,2.9913
146,254569.5963551095,3.0117
147,254557.2967290944,3.0320
148,254544.8720253684,3.0524
149,254532.3252565996,3.0727
150,254519.6594203800,3.0931
151,254506.8775405935,3.1134
152,254493.9826451204,3.1337
153,254480.9777374918,3.1541
154,254467.8658115780,3.1744
155,254454.6497749765,3.1948
156,254441.3325859736,3.2151
157,254427.9170547058,3.2355
158,254414.4060262520,3.2558
159,254400.8021695428,3.2761
160,254387.1081192873,3.2965
161,254373.3264329407,3.3168
162,254359.4595500306,3.3371
163,254345.5097991742,3.3574
164,254331.4794498026,3.3778
165,254146.5024611744,3.3991
166,254139.5410925026,3.4194
167,254131.5346419552,3.4397
168,254119.6248526778,3.4601
169,254107.5614203514,3.4804
170,254095.3489652826,3.5008
171,254082.9920388558,3.5211
172,254070.4951365268,3.5415
173,253762.1757642312,3.5627
174,253333.5990626892,3.5840
