# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2225128.5457991883,0.0173
2,1455296.6870318844,0.0353
3,1108869.2781044242,0.0560
4,812470.2064393382,0.0759
5,478685.8332788391,0.1013
6,358634.8322247909,0.1212
7,293894.8421905170,0.1386
8,279016.5456977477,0.1571
9,277271.4261818868,0.1753
10,269289.4881014534,0.1924
11,265883.4642051556,0.2095
12,264076.7677138271,0.2266
13,262856.8592868255,0.2437
14,261839.1616099699,0.2608
15,260935.9141266333,0.2779
16,260223.4462281378,0.3032
17,259126.4241246054,0.3221
18,258543.6732467554,0.3365
19,257914.2270570705,0.3510
20,257572.9765633314,0.3654
21,257040.6273904104,0.3799
22,256507.0569172763,0.4051
23,256483.0254839000,0.4340
24,256451.5648620774,0.4503
25,256380.3070251870,0.4648
26,256346.1546616362,0.4811
27,256327.6608023799,0.4975
28,256298.8327105578,0.5138
29,256256.7042335690,0.5329
30,256247.4470432253,0.5492
31,256230.5684854324,0.5656
32,256203.1618116817,0.5819
33,256176.8850310643,0.5982
34,256103.9645788948,0.6126
35,256076.4832908146,0.6290
36,255969.9005785032,0.6434
37,255948.0391940553,0.6598
38,255857.2953253696,0.6742
39,255841.3954156079,0.6905
40,255762.9512515057,0.7049
41,255752.7894616114,0.7213
42,255725.9497703285,0.7358
43,255712.4730388437,0.7520
44,255668.9853078616,0.7665
45,255659.9574378104,0.7955
46,255647.7451181525,0.8118
47,255636.3474148689,0.8282
48,255597.6331714822,0.8426
49,255587.0342716537,0.8615
50,255538.8528017284,0.8760
51,255529.3397522059,0.8949
52,255418.5914199919,0.9146
53,255355.7603134853,0.9300
54,255272.8393669493,0.9445
55,255209.7938150038,0.9599
56,255142.9896682674,0.9744
57,255077.6790962811,0.9898
58,255021.4552731543,1.0043
59,254951.6027463411,1.0196
60,254902.9858253203,1.0341
61,254857.1047368785,1.0485
62,254813.5549356917,1.0630
63,254722.0831856039,1.0785
64,254684.4781960066,1.0929
65,254647.7381240217,1.1074
66,254611.7756789994,1.1219
67,254576.4640278477,1.1363
68,254436.0080910962,1.1517
69,254408.1656051661,1.1688
70,254379.7944856513,1.1859
71,254350.9415615586,1.2030
72,254321.6993789218,1.2201
73,254292.1410946638,1.2372
74,254262.3196672898,1.2543
75,253767.0186391067,1.2697
76,253754.6067900152,1.2870
77,253740.9413427590,1.3044
78,253725.9461237249,1.3217
79,253709.6300873382,1.3391
80,253692.0526029907,1.3564
81,253673.3032154908,1.3737
82,253653.4903209197,1.3911
83,253632.7327949116,1.4084
84,253611.1534779056,1.4257
85,253588.8741735099,1.4431
86,253566.0125153338,1.4604
87,253542.6779378747,1.4777
88,253518.9705569665,1.4951
89,253494.9794644197,1.5124
90,253470.7809911234,1.5297
91,253446.4387321014,1.5470
92,253286.1701181367,1.5659
93,253048.3946465210,1.5941
94,252728.7791830612,1.6224
95,252450.7605273997,1.6415
96,252334.1346069020,1.6715
97,252249.9920763451,1.6879
98,252246.4002269308,1.7054
99,252243.1245620250,1.7229
100,252240.1133201666,1.7405
101,252237.3249791344,1.7580
102,252234.7253134325,1.7755
103,252232.2860315707,1.7930
104,252229.9837407725,1.8106
105,252227.7990408058,1.8281
106,252225.7157911650,1.8456
107,252223.7206802201,1.8632
108,252221.8025540420,1.8808
109,252219.9521527468,1.8983
110,252218.1578907758,1.9159
111,252200.2640745682,1.9356
112,252137.6440273027,1.9629
113,252137.4818901921,1.9803
114,252125.5096532455,1.9966
115,252125.2785286055,2.0111
116,252122.4981855932,2.0256
117,252112.3107045283,2.0521
118,252109.0124687093,2.0758
119,252108.9565539104,2.0930
120,252108.2453769559,2.1074
121,252107.2435587586,2.1384
122,252106.4190590979,2.1612
123,252106.2997603929,2.1784
124,252106.1821861340,2.1957
125,252106.0652297118,2.2131
126,252105.9480518690,2.2304
127,252105.3704308224,2.2501
128,252104.8392580778,2.2903
129,252104.7559513489,2.3049
130,252104.4280397444,2.3246
131,252103.7616384669,2.3511
132,252103.7141655110,2.3655
133,252103.3760939967,2.3800
134,252103.0846074599,2.4064
