# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2225128.5457991888,0.0173
2,1455296.6870318856,0.0353
3,1108869.2781046322,0.0560
4,812470.2064384120,0.0758
5,486380.9379607736,0.0967
6,357737.8941723400,0.1157
7,297742.9304406546,0.1330
8,280159.7944185503,0.1514
9,271928.5652503776,0.1659
10,268620.9136861700,0.1803
11,265713.0001776047,0.1948
12,264173.3380606099,0.2092
13,260713.4567268522,0.2237
14,258367.1444895790,0.2382
15,256807.4610412133,0.2526
16,255853.3461101622,0.2672
17,255264.7441426759,0.2816
18,254972.0355110924,0.2961
19,254261.8413102144,0.3106
20,253990.5752972747,0.3251
21,253793.1613062911,0.3395
22,253650.1714696727,0.3540
23,253531.8666590774,0.3684
24,253466.2474192661,0.3855
25,253413.5354421183,0.3999
26,253174.9064962290,0.4280
27,253158.5716696854,0.4452
28,253137.7309435804,0.4625
29,253131.3699714520,0.4770
30,253122.6064960607,0.4915
31,253113.3050198718,0.5059
32,253110.7694154702,0.5204
33,253095.0905604751,0.5375
34,253093.2971728629,0.5548
35,253090.1256828649,0.5692
36,253086.5139611809,0.5837
37,253083.2639090304,0.5982
38,253079.5654880835,0.6153
39,253076.1489072501,0.6326
40,253069.9001569348,0.6471
41,253063.3863421177,0.6615
42,252942.4449968348,0.6803
43,252802.5594117341,0.6958
44,252533.7116768679,0.7111
45,252036.5099030783,0.7265
46,251184.0977058085,0.7419
47,249944.7801097944,0.7572
48,248928.7844054693,0.7745
49,248814.9623768607,0.7963
50,248773.7056012086,0.8310
51,248751.6523510071,0.8464
52,248733.8241996702,0.8618
53,248718.9024895733,0.8771
54,248706.2778375664,0.8926
55,248695.5292228266,0.9080
56,248688.2832009049,0.9225
57,248677.7607321142,0.9443
58,248671.9657612559,0.9588
59,248665.5047866697,0.9741
60,248660.9232887485,0.9886
61,248655.5262826055,1.0040
62,248651.7487929294,1.0184
63,248648.1757449731,1.0329
64,248643.6679869191,1.0501
65,248640.1282080954,1.0655
66,248636.8844346245,1.0809
67,248633.2278804833,1.1037
68,248630.5525726961,1.1191
69,248628.0611351497,1.1345
70,248625.7380364276,1.1499
71,248623.8316547674,1.1643
72,248621.9887033646,1.1788
73,248620.2029091626,1.1933
74,248618.4706811874,1.2078
75,248616.7888690832,1.2223
76,248615.1545530041,1.2368
77,248613.5650456375,1.2514
78,248612.0178795169,1.2658
79,248610.5107847075,1.2803
80,248609.0416667047,1.2948
81,248607.6085855563,1.3093
82,248606.2097402003,1.3238
83,248604.8434534083,1.3382
84,248603.5081594569,1.3527
85,248602.2023932508,1.3672
