# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274410.7744043716,0.0201
2,1506190.0164306618,0.0405
3,1126668.7967024350,0.0630
4,818956.9381643744,0.0846
5,490873.7506567891,0.1090
6,404208.5873956020,0.1501
7,354061.6428186888,0.1768
8,311470.2324294533,0.2034
9,304604.8588304884,0.2279
10,295020.8347485151,0.2520
11,287615.8674976029,0.2723
12,277134.0010608950,0.2890
13,274006.8643252160,0.3057
14,267431.7829892569,0.3224
15,265218.2292811229,0.3391
16,263774.6833729888,0.3559
17,262708.8752034562,0.3725
18,261975.2645278705,0.3893
19,261201.9387803138,0.4060
20,260472.9951881047,0.4253
21,260061.7137608222,0.4420
22,259630.4991010147,0.4587
23,259268.6746431318,0.4755
24,259024.4088889605,0.4921
25,258673.7266752872,0.5089
26,258435.2813682389,0.5256
27,258251.2923505863,0.5422
28,258111.5069307441,0.5589
29,258004.6455766560,0.5756
30,257923.7986629856,0.5923
31,257864.5845318299,0.6090
32,257790.7313278466,0.6257
33,257717.1659422472,0.6424
34,257652.0494643656,0.6591
35,257594.4477237171,0.6759
36,257543.2242265579,0.6926
37,257497.4540752303,0.7092
38,257456.4100434267,0.7260
39,257419.5082329932,0.7427
40,257386.2515697258,0.7594
41,257356.2054587548,0.7761
42,257328.7958773410,0.7928
43,257303.4999229670,0.8095
44,257280.9456604653,0.8262
45,257260.4125452400,0.8430
46,257241.9793212854,0.8597
47,257225.3941056354,0.8764
48,257177.0121486694,0.8931
49,257146.0307277359,0.9097
50,257116.4498947606,0.9264
51,257088.1673375430,0.9431
52,257069.9215106283,0.9608
53,257051.4965871948,0.9784
54,257025.3205159795,0.9951
55,257006.3729251395,1.0127
56,256981.5323965510,1.0295
57,256961.8224626078,1.0471
58,256938.1986471206,1.0639
59,256917.7516832109,1.0815
60,256895.2516864404,1.0982
61,256874.3544838546,1.1159
62,256852.7967519423,1.1326
63,256831.7807762899,1.1493
64,256808.4867070831,1.1669
65,256788.3350890041,1.1836
66,256763.8770968896,1.2012
67,256744.4898345461,1.2179
68,256718.3540865295,1.2355
69,256699.6840019890,1.2522
70,256681.3112846199,1.2689
71,256652.9027497713,1.2865
72,256635.1986202562,1.3032
73,256341.8947824980,1.3261
74,255797.9987718670,1.3437
75,255240.2879805631,1.3622
76,255165.5015372510,1.3790
77,254730.1696528464,1.3957
78,254396.5917644390,1.4400
79,253708.1289752487,1.4604
80,253102.3770392599,1.4817
81,252885.2941195071,1.5114
82,252631.0711602528,1.5864
83,252322.5139636464,1.6271
84,252231.2007208692,1.6465
85,251576.3650437631,1.6641
86,251293.0409398839,1.6853
87,251140.1213758590,1.7154
88,251113.9421567561,1.7330
89,251107.9520971398,1.7497
90,251106.6332478619,1.7665
91,251099.5911983275,1.7832
92,251097.3689788803,1.8295
93,251095.4794114238,1.8601
94,251095.2030308613,1.8794
95,251094.9538697102,1.8988
96,251094.6745078374,1.9183
97,251094.3496665766,1.9376
98,251093.9815089662,1.9570
99,251093.5786729357,1.9764
100,251091.9887402532,1.9983
101,251091.1825055324,2.0601
102,251090.9365540105,2.0768
103,251090.7515492290,2.0935
104,251090.5509633491,2.1102
105,251090.3046579017,2.1269
106,251090.0127440774,2.1436
107,251089.6855257094,2.1603
