# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624662,0.0000
1,2274410.7744043721,0.0202
2,1506190.0164306634,0.0406
3,1126668.7967024348,0.0631
4,820361.1192170661,0.0838
5,493169.5362859456,0.1072
6,422478.0491436878,0.1428
7,362566.4834980715,0.1644
8,318470.9333742302,0.1857
9,284010.8836123942,0.2053
10,280839.4354847698,0.2257
11,275956.3556843609,0.2451
12,273019.3511559347,0.2645
13,271445.5580564649,0.2838
14,266388.0063496073,0.3005
15,266029.7688503916,0.3172
16,264395.5649013991,0.3366
17,263673.9153708873,0.3533
18,263149.2650281423,0.3700
19,262711.4062199076,0.3867
20,262340.0103127956,0.4034
21,262017.6630320296,0.4201
22,261733.4090936786,0.4367
23,261479.6825646017,0.4534
24,261251.2420685446,0.4701
25,261044.6969636092,0.4868
26,260858.1655482620,0.5035
27,260690.6192166355,0.5202
28,260541.0096076597,0.5370
29,260407.9096911781,0.5537
30,260289.7866973618,0.5703
31,260185.3120378891,0.5870
32,260093.4588743387,0.6037
33,260013.4757200909,0.6204
34,259944.8250659582,0.6371
35,259837.0588488655,0.6538
36,259747.1132023929,0.6705
37,259665.9718403677,0.6872
38,259592.6817040232,0.7039
39,259526.0384189809,0.7206
40,259465.0540357113,0.7373
41,259408.9186687065,0.7539
42,259356.9626434938,0.7706
43,259308.6282059350,0.7873
44,259263.4468001757,0.8040
45,259221.0211513645,0.8207
46,259181.0110821714,0.8373
47,259143.1222621766,0.8540
48,259107.0975504818,0.8707
49,259072.7097575302,0.8874
50,259039.7561124018,0.9042
51,259008.0539200332,0.9208
52,258977.4372533809,0.9375
53,258947.7540421444,0.9542
54,258918.8641262733,0.9709
55,258890.6374814445,0.9876
56,258862.9532824074,1.0043
57,258835.6985653437,1.0210
58,258808.7681120926,1.0376
59,258782.0633761539,1.0543
60,258755.4925516316,1.0710
61,258728.9703474716,1.0877
62,258702.4177705700,1.1044
63,258675.7623753720,1.1211
64,258648.9377880916,1.1378
65,258621.8840300117,1.1545
66,258594.5474834623,1.1712
67,258566.8809751733,1.1879
68,258538.8434597988,1.2046
69,258510.4000465967,1.2214
70,258481.5221783330,1.2381
71,258452.1869302770,1.2548
72,258422.3771529523,1.2715
73,258392.0811646279,1.2882
74,258361.2919571336,1.3049
75,258330.0076818622,1.3215
76,258298.2303115490,1.3382
77,258265.9652922967,1.3549
78,258233.2220515914,1.3715
79,258200.0120009609,1.3882
80,258166.3490327699,1.4049
81,258132.2484167001,1.4215
82,258097.7267213812,1.4383
83,258062.8012979911,1.4550
84,258027.4887494776,1.4717
85,257991.8060360670,1.4884
86,257955.7694363962,1.5051
87,257919.3938374448,1.5217
88,257882.6927658068,1.5385
89,257845.6779395430,1.5552
90,257808.3593341862,1.5721
91,257770.7453884275,1.5888
92,257732.8419631351,1.6055
93,257694.6534018170,1.6222
94,257178.4158278213,1.6398
95,256502.8666527259,1.6575
96,256466.3547728631,1.6770
97,256460.9329499518,1.6967
98,256458.3441236591,1.7165
