# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776587,0.0118
2,1506203.5600746695,0.0245
3,1127133.1806397093,0.0389
4,820037.3684095239,0.0525
5,497540.1090229134,0.0688
6,373473.4894807378,0.0859
7,312813.0365353111,0.1120
8,285659.1158388261,0.1282
9,271070.7347992087,0.1402
10,265559.8241006713,0.1531
11,262360.0531415830,0.1658
12,258725.3613384533,0.1774
13,257433.2151187777,0.1890
14,255128.6495760110,0.1980
15,253915.2347582499,0.2069
16,253203.7039062288,0.2159
17,252795.9217265600,0.2248
18,252186.4050134329,0.2338
19,251721.0717542677,0.2427
20,251342.3693523413,0.2516
21,251032.7546883312,0.2606
22,250775.3359550686,0.2696
23,250558.2111833121,0.2785
24,250372.7708563734,0.2875
25,250212.6302031759,0.2964
26,250072.9356617219,0.3053
27,249949.9104783820,0.3143
28,249840.7116437174,0.3233
29,249743.1194775704,0.3322
30,249358.6554764542,0.3412
31,249197.4873384192,0.3501
32,249057.5389455909,0.3590
33,248935.1023132090,0.3680
34,248826.7878658650,0.3769
35,248729.9551644132,0.3859
