# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776554,0.0119
2,1506203.5600746700,0.0245
3,1127133.1806397145,0.0390
4,820037.3684095168,0.0525
5,497540.1090254599,0.0688
6,373473.4895244751,0.0860
7,312813.0367021974,0.1236
8,285659.2141821686,0.1399
9,271070.8086477392,0.1519
10,265559.9095554972,0.1649
11,262360.0761913873,0.1776
12,258725.3589035417,0.1892
13,257433.3604520249,0.2121
14,255128.2735469527,0.2212
15,253913.9726311628,0.2302
16,253204.4098684110,0.2392
17,252670.2221161296,0.2595
18,252398.1057550247,0.2798
19,251904.4130657617,0.2888
20,251473.5509117952,0.2978
21,251121.8294893827,0.3068
22,250834.4317700088,0.3158
23,250595.8187809295,0.3248
24,250394.8740691308,0.3338
25,250223.4493775610,0.3427
26,250075.4377543224,0.3517
27,249946.3079073293,0.3606
28,249832.6278298910,0.3696
29,249724.0888056481,0.3900
30,249633.6628552463,0.4103
31,249174.9935197927,0.4193
32,249007.9639276895,0.4283
33,248866.1615249820,0.4373
34,248744.5603691757,0.4462
